"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"ES-CLPPB-01-RP-W1,8GR","PS","GODE-PSCQEPR0-W","Regular","1.0","Pc(s)"
"","","ES-CLPPB-01-BULK","Bulk","0.0018","kg"
"ES-CLPPB-03-RP-W1,8GR","PS","ES-CLPPB-03-BULK","Bulk","0.0018","kg"
"","","GODE-PSCQEPR0-W","Regular","1.0","Pc(s)"
"B-DMCP01-RP-EM4GR","1","GODE-PESBOR2-MOAL","Regular","1.0","Pc(s)"
"","","B-DMCP01-BULK","Bulk","0.004","kg"
"B-DMCP02-RP-EM4GR","1","B-DMCP02-BULK","Bulk","0.004","kg"
"","","GODE-PESBOR2-MOAL","Regular","1.0","Pc(s)"
"EB-EK-DB-RP-W1.1GR","1","EB-DK-DB-BULK","Bulk","0.0011","kg"
"","","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"ES-CP-RP-W1,1GR","2","ES-CP-MO BULK","Bulk","0.0011","kg"
"","","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"ES-EPS-01-RP-W1,1GR","2","ES-EPS-01-BULK","Bulk","0.0011","kg"
"","","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"ES-PMEO-RP-W1,1GR","1","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-PMEO-BULK","Bulk","0.0011","kg"
"ES-PPMB13,5RNFS-MO","4","ES-PMB-BULK","Bulk","0.0035","kg"
"","","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"ES-PPMC3,5RNFS-MO","4","GODE-PESBOR2-MOAL","Regular","1.0","Pc(s)"
"","","ES-C-BULK","Bulk","0.00407","kg"
"ES-PPMHS3,5RNFS-MO","3","ES-E-BULK","Bulk","0.00368","kg"
"","","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"ES-PPMS3,5RNFS-MO","4","ES-SD-BULK","Bulk","0.00407","kg"
"","","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"ES-PRPBK01-RP-EM1,1G","1","ES-PRPBK01-BULK","Bulk","0.0011","kg"
"","","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"ES-PRPPH02-RP-EM1,1G","1","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-PRPPH02-BULK","Bulk","0.0011","kg"
"ES-PRPPH03-RP-EM1,1G","1","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-PRPPH03-BULK","Bulk","0.0011","kg"
"L-TMLCA-OMG","1","L-MLCA-BULK","Bulk","0.0035","kg"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","STIC-BMKLC01R0-OMG","Regular","1.0","Pc(s)"
"L-TMLCB-OMG","1","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","L-MLCB-BULK","Bulk","0.0035","kg"
"","","STIC-BMKLC02R0-OMG","Regular","1.0","Pc(s)"
"L-TMLCC-OMG","1","STIC-BMKLC03R0-OMG","Regular","1.0","Pc(s)"
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","L-MLCC-BULK","Bulk","0.0035","kg"
"L-TMLCD-OMG","1","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","STIC-BMKLC04R0-OMG","Regular","1.0","Pc(s)"
"","","L-MLCD-BULK","Bulk","0.0035","kg"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"L-TMLCE-OMG","1","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","L-MLCE-BULK","Bulk","0.0035","kg"
"","","STIC-BMKLC05R0-OMG","Regular","1.0","Pc(s)"
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"L-TMLCG-OMG","1","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","STIC-BMKLC07R0-OMG","Regular","1.0","Pc(s)"
"","","L-MLCG-BULK","Bulk","0.0035","kg"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"L-TMLCH-OMG","1","STIC-BMKLC08R0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","L-MLCH-BULK","Bulk","0.0035","kg"
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"L-TMLCI-OMG","1","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","STIC-BMKLC09R0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","L-MLCI-BULK","Bulk","0.0035","kg"
"L-TMLCJ-OMG","1","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","L-MLCJ-BULK","Bulk","0.0035","kg"
"","","STIC-BMKLC10R0-OMG","Regular","1.0","Pc(s)"
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"L-TMLCL-OMG","1","L-MLCL-BULK","Bulk","0.0035","kg"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","STIC-BMKLC12R0-OMG","Regular","1.0","Pc(s)"
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"L-TMLCK-OMG","1","L-MLCK-BULK","Bulk","0.0035","kg"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","STIC-BMKLC11R0-OMG","Regular","1.0","Pc(s)"
"ES-W0J-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0J-03 BULK","Bulk","0.0011","kg"
"ES-W0M-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0M-02 BULK","Bulk","0.0011","kg"
"ES-W0N3RNFS1,3-W","2","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"","","ES-W0N-03 BULK","Bulk","0.00133","kg"
"ES-W1D-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1D-03 BULK","Bulk","0.0011","kg"
"FA-CLFLMHCP-RP-W4GR","PS1","GODE-PSCHCPROR0-W","Regular","1.0","Pc(s)"
"","","FA-CLFLMHCP-BULK","Bulk","0.004","kg"
"L-TMLCF-OMG","1","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","L-MLCF-BULK","Bulk","0.0035","kg"
"","","STIC-BMKLC06R0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"FA-CLFLMHCP-RP-W4GR","PS2","GODE-CHCPROR0-W","Regular","1.0","Pc(s)"
"","","FA-CLFLMHCP-BULK","Bulk","0.004","kg"
"FA-CLFMDHCP-RP-W4GR","PS1","FA-CLFMDHCP-BULK","Bulk","0.004","kg"
"","","GODE-PSCHCPROR0-W","Regular","1.0","Pc(s)"
"TC-PC03-RP-MO12GR","1","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)"
"","","TC-PC03-BULK","Bulk","0.012","kg"
"TC-PC01-RP-MO12GR","1","TC-PC01-BULK","Bulk","0.012","kg"
"","","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)"
"TC-PC05-RP-MO12GR","1","TC-PC05-BULK","Bulk","0.012","kg"
"","","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)"
"TC-FCK1&214GRRN-MO","1","TC-FC-MO-BULK","Bulk","0.007","kg"
"","","TC-FC02-MO-BULK","Bulk","0.007","kg"
"","","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)"
"L-TLTD-OMG","1","L-LTD-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-JKLTS04R0-OMG","Regular","1.0","Pc(s)"
"","","STIC-BJKLTS04R0-OMG","Regular","1.0","Pc(s)"
"L-TLTB-OMG","1","L-LTB-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
