"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","POUC-BSP22-L","Packaging Material","1.0","Pc(s)"
"","","LEAF-HUEP-L","Packaging Material","1.0","Pc(s)"
"","","KB-LABBR0-L","Packaging Material","0.5","Pc(s)"
"HBW-ETBWCN2-W","1'","HBW-ETBWC-BULK","Semi Finished Goods","0.45","kg"
"","","PU-LED28BR0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-FRVBW450R0-ELL","Packaging Material","1.0","Pc(s)"
"","","STIC-BRVBW450R0-ELL","Packaging Material","1.0","Pc(s)"
"","","BOTO-PETE450-ELL","Packaging Material","1.0","Pc(s)"
"","","KB-WBETAR1-W","Packaging Material","0.0769231","Pc(s)"
"L-REMA06-W","5","L-REMA06-BULK","Semi Finished Goods","0.0035","kg"
"","","CAPC-ELRLR0-WASBS","Packaging Material","1.0","Pc(s)"
"","","CONT-ELRLR0-WASBS","Packaging Material","1.0","Pc(s)"
"","","STIC-BTEMA06R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","DUS-EMAR0-WIMVG","Packaging Material","1.0","Pc(s)"
"","","STIC-BCEMA06R1-WRL","Packaging Material","1.0","Pc(s)"
"","","IBOX-12ELRLR1-W","Packaging Material","0.08333","Pc(s)"
"","","KB-WLER1-KMK125CF","Packaging Material","0.00694","Pc(s)"
"MY-RELIPHPB-W","3","EL-IPHPB-W1G","Finished Goods","1.0","Pc(s)"
"","","STIC-PAPBBPOEM-WM","Packaging Material","1.0","Pc(s)"
"MY-LEMC02DP-W","1","L-EMC02DP-W","Finished Goods","1.0","Pc(s)"
"","","STIC-PAPHMPR1-WM","Packaging Material","1.0","Pc(s)"
"","","KB-WIOTAR1-W","Packaging Material","0.00694","Pc(s)"
"L-EMC03-W4GR","21 (INLINE)","L-EMC03-BULK","Semi Finished Goods","0.004","kg"
"","","BOTO-EMLCR1-W","Packaging Material","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","Packaging Material","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","Packaging Material","1.0","Pc(s)"
"","","STIC-BOTEMLC03R2-W","Packaging Material","1.0","Pc(s)"
"","","DUS-EMLC03C-WILD","Packaging Material","1.0","Pc(s)"
"","","STIC-HEMLCR1-W","Packaging Material","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","Packaging Material","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","Packaging Material","0.00694","Pc(s)"
"ES-PRPNS-EM3.3GR","5","ES-W0I-01-RP-W1,1GR","Semi Finished Goods","1.0","Pc(s)"
"","","ES-W1F-01-RP-W1,1GR","Semi Finished Goods","1.0","Pc(s)"
"","","ES-BV-RP-W1,1GR","Semi Finished Goods","1.0","Pc(s)"
"","","CONT-ESPR-ESAN","Packaging Material","1.0","Pc(s)"
"","","KUAS-ESSNBRWP2K-BT","Packaging Material","1.0","Pc(s)"
"","","PLAS-DMESBOR0-E","Packaging Material","1.0","Pc(s)"
"","","STIC-BOTESN-ECNF","Packaging Material","1.0","Pc(s)"
"","","DUS-PPESNUR1-E","Packaging Material","1.0","Pc(s)"
"","","KB-EBR1-KMK125CF","Packaging Material","0.00793","Pc(s)"
"SS-UVSASP-W","3","SS-UVSASP-BULK","Semi Finished Goods","0.035","kg"
"","","BOTO-UVSWRR1-W","Packaging Material","1.0","Pc(s)"
"","","PLU-UVSWRR0-W","Packaging Material","1.0","Pc(s)"
"","","CAP-UVSWRR0-W","Packaging Material","1.0","Pc(s)"
"","","PAP-UVSWRR2-W","Packaging Material","1.0","Pc(s)"
"","","PLAS-VUVSBR0-W","Packaging Material","1.0","Pc(s)"
"","","KB-WDELTAR0-KMM125CF","Packaging Material","0.047619","Pc(s)"
"ES-TLFS-MO6G","6","ES-SGBS2GRNFS-MO","Semi Finished Goods","1.0","Pc(s)"
"","","PLAS-DMESBOR0-MO","Packaging Material","1.0","Pc(s)"
"","","ES-SGS12GRNFS-MO","Semi Finished Goods","1.0","Pc(s)"
