"Last Updated on","Created on","Korporat Code","Internal Reference","Name","Internal Name","Material Type","Unit of Measure/Display Name","PO Conversion Coeff","Brand/Display Name","Source","NFG Type/Display Name","Type of RM/PM","Customized UOM PO/Display Name"
"2021-09-22 04:50:25","2021-09-15 03:30:36","STIC-PIETWCR02R0-W","STIC-PIETWCR02R0-W","Sticker Penutup Ingredients Exclusive TWCR 02 Wardah,PP Silver Matte,2W,17.5x61mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWCR 02 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-09-22 04:50:26","2021-09-15 03:31:16","STIC-PIETWCR03R0-W","STIC-PIETWCR03R0-W","Sticker Penutup Ingredients Exclusive TWCR 03 Wardah,PP Silver Matte,2W,17.5x61mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWCR 03 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-09-22 04:50:27","2021-09-15 03:31:51","STIC-PIETWCR04R0-W","STIC-PIETWCR04R0-W","Sticker Penutup Ingredients Exclusive TWCR 04 Wardah,PP Silver Matte,2W,17.5x61mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWCR 04 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-09-22 04:50:28","2021-09-15 03:32:33","STIC-PIETWCR05R0-W","STIC-PIETWCR05R0-W","Sticker Penutup Ingredients Exclusive TWCR 05 Wardah,PP Silver Matte,2W,17.5x61mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWCR 05 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2022-01-08 14:43:20","2021-09-16 02:44:09","STIC-PIIBBMR0-W","STIC-PIIBBMR0-W","Sticker Penutup Ingredients Instaperfect Browfessional 3D Brow Mascara Wardah,PP Silver Matte,2W,85x12mm,VarDoff","Sticker Penutup Ingredients Instaperfect Browfessional 3D Brow Mascara W","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2022-01-08 14:43:20","2021-11-29 07:08:14","STIC-PIISCEPR0-W","STIC-PIISCEPR0-W","Sticker Penutup Ingredients Instaperfect Spotlight Chromatic Eye Palette","Sticker Penutup Ingredients Instaperfect Spotlight Chromatic Eye Palette W","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2022-01-08 14:43:21","2021-11-29 07:07:13","STIC-PNISCEPR0-W","STIC-PNISCEPR0-W","Sticker Penutup NA Instaperfect Spotlight Chromatic Eye Palette Wardah,PPSilverMatte,2W,45x11mm,VarDoff","Sticker Penutup NA Instaperfect Spotlight Chromatic Eye Palette W","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2021-09-22 04:50:23","2021-09-15 02:48:27","STIC-PQETWC01R0-W","STIC-PQETWC01R0-W","Sticker Penutup QR Code Exclusive TWC 01 Wardah,PP White,1W,16x42mm,NoFinishing","Sticker Penutup QR Code Exclusive TWC 01 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-09-22 04:50:24","2021-09-15 02:49:24","STIC-PQETWC02R0-W","STIC-PQETWC02R0-W","Sticker Penutup QR Code Exclusive TWC 02 Wardah,PP White,1W,16x42mm,NoFinishing","Sticker Penutup QR Code Exclusive TWC 02 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-09-22 04:50:24","2021-09-15 02:50:07","STIC-PQETWC03R0-W","STIC-PQETWC03R0-W","Sticker Penutup QR Code Exclusive TWC 03 Wardah,PP White,1W,16x42mm,NoFinishing","Sticker Penutup QR Code Exclusive TWC 03 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
