Attribute number;Attribute value;Attribute description;Attribute name
10;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami;Product Name
10;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 275 ml;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 275 ml;Product Name
10;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 550 ml;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 550 ml;Product Name
10;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 400 ml;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 400 ml;Product Name
10;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 800 ml;Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 800 ml;Product Name
10;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami;Product Name
10;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 275 ml;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 275 ml;Product Name
10;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 550 ml;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 550 ml;Product Name
10;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 400 ml;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 400 ml;Product Name
10;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 800 ml;Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 800 ml;Product Name
10;Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami;Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami;Product Name
10;Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Botol 250 ml;Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Botol 250 ml;Product Name
