"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Incoterms"
"BOTO-MUPBW-X","2305884","4","2","DELIVERED DUTY PAID"
"BOTO-MURF200-X","2200008","4","2","DELIVERED DUTY PAID"
"","2200008","4","2","DELIVERED DUTY PAID"
"BOTO-MUPETRF50-X","2200042","4","2","DELIVERED DUTY PAID"
"BOTO-MUPHW250-X","2305884","2","2","DELIVERED DUTY PAID"
"BOTO-NDAHBW250-W","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-NFSSNP5-E","2200014","3","2","DELIVERED DUTY PAID"
"BOTO-NPBRT100-T","2200042","4","2","DELIVERED DUTY PAID"
"","2200042","4","2","DELIVERED DUTY PAID"
"","2200042","4","2","DELIVERED DUTY PAID"
"","2200042","4","2","DELIVERED DUTY PAID"
"BOTO-OMGPGT100-OMG","2200042","3","2","DELIVERED DUTY PAID"
"","2200042","3","2","DELIVERED DUTY PAID"
"","2200042","3","2","DELIVERED DUTY PAID"
"BOTO-PET100W-WPET","2200042","4","2","DELIVERED DUTY PAID"
"","2200042","4","2","DELIVERED DUTY PAID"
"BOTO-PET240W-WPET","2200086","2","2","DELIVERED DUTY PAID"
"BOTO-PETE250-ELL","2200042","7","2","DELIVERED DUTY PAID"
"","2200042","7","2","DELIVERED DUTY PAID"
"","2200042","7","2","DELIVERED DUTY PAID"
"","2200042","7","2","DELIVERED DUTY PAID"
"BOTO-PET300R0-WL","2305884","4","2","DELIVERED DUTY PAID"
"BOTO-PET300R0-GG","2305884","4","2","DELIVERED DUTY PAID"
"BOTO-PETE450-ELL","2200042","7","2","DELIVERED DUTY PAID"
"","2200042","7","2","DELIVERED DUTY PAID"
"","2200042","7","2","DELIVERED DUTY PAID"
"BOTO-PET60TCD18-","2200085","4","2","DELIVERED DUTY PAID"
"","2200085","4","2","DELIVERED DUTY PAID"
"BOTO-BR100SO-W","2308464","4","2","DELIVERED DUTY PAID"
"BOTO-PETHW250-W","2305884","4","2","DELIVERED DUTY PAID"
"BOTO-PETMUPS1-GG","2305884","2","2","DELIVERED DUTY PAID"
"BOTO-PETRF100B-X","2200042","4","2","DELIVERED DUTY PAID"
"","2200042","4","2","DELIVERED DUTY PAID"
"BOTO-PETRF100C-X","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"BOTO-PET100ML39-X","2200008","4","2","DELIVERED DUTY PAID"
"","2200008","4","2","DELIVERED DUTY PAID"
"BOTO-PETRF200-X","2200008","4","2","DELIVERED DUTY PAID"
"","2200008","4","2","DELIVERED DUTY PAID"
"BOTO-PETRF50-X","2200042","4","2","DELIVERED DUTY PAID"
"BOTO-PSEARTH2501-W","2200042","4","2","DELIVERED DUTY PAID"
