SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
TC-NFSRLLL03-W;Sample Pajangan Wardah NFS Refill Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g;;;Pc(s);12.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;TC-NFSRLLL03-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
2PR--MO100ML;MAKE OVER Make Up Remover 100 ml (Pc(s));IDR;32181.816;Pc(s);100.0;g;;g;;;24;KOLI;3456;PLT;;TRL;FG;sellable;Make Over;existing;;JTK02;FACE CLEANSER;REMOVER;MAKE OVER MAKE UP REMOVER;2PR--MO100ML;b;x;;;;;;local;MULTIPLEBULK;False;;;;MASSTIGE;False;;Pc(s);;;
A-BPCB-W20G;Wardah Acnederm Pore Blackhead Balm 20 g (Pc(s));IDR;20454.546;Pc(s);20.0;g;;g;;;48;KOLI;;PLT;2880;TRL;FG;sellable;Wardah;existing;;JTK04;FACE CLEANSER;CLEANSER;WARDAH ACNEDERM BLACKHEAD BALM;A-BPCB-W20G;b;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-CGW1-W60ML;Wardah Acne Cleansing Gel 60 ml;IDR;12545.454;Pc(s);54.0;g;;g;;;24;KOLI;;PLT;;TRL;FG;sellable;Wardah;inactive;;JTK02;FACE CLEANSER;FACIAL WASH;WARDAH ACNEDERM CLEANSING GEL;A-CGW1-W60ML;c;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-DM-W40ML;Wardah Acnederm Day Moisturizer 40 ml (Pc(s));IDR;17454.54;Pc(s);37.3;g;;g;;;30;KOLI;3060;PLT;;TRL;FG;sellable;Wardah;existing;;JTK02;FACE MOISTURIZER;MOISTURIZER;WARDAH ACNEDERM DAY MOISTURIZER;A-DM-W40ML;a;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-FP-W20G;Wardah Acnederm Face Powder 20 g (Pc(s));IDR;23454.54;Pc(s);20.0;g;;g;;;48;KOLI;;PLT;1344;TRL;FG;sellable;Wardah;existing;;JTK01;FACE MAKE UP;LOOSE POWDER;WARDAH ACNEDERM LOOSE POWDER;A-FP-W20G;b;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-NTM-W40ML;Wardah Acnederm Night Treatment Moisturizer 40 ml (Pc(s));IDR;17454.54;Pc(s);40.0;g;;g;;;30;KOLI;3060;PLT;;TRL;FG;sellable;Wardah;existing;;JTK02;FACE MOISTURIZER;MOISTURIZER;WARDAH ACNEDERM NIGHT MOISTURIZER;A-NTM-W40ML;a;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-PFC-W60ML;Wardah Acnederm Pure Foaming Cleanser 60 ml (Pc(s));IDR;12545.454;Pc(s);60.8;g;;g;;;36;KOLI;4320;PLT;;TRL;FG;sellable;Wardah;existing;;JTK02;FACE CLEANSER;FACIAL WASH;WARDAH ACNEDERM PURE FOAMING CLEANSER;A-PFC-W60ML;a;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-PRT-W100ML;Wardah Acnederm Pore Refining Toner 100 ml (Pc(s));IDR;16363.632;Pc(s);100.1;g;;g;;;20;KOLI;3120;PLT;;TRL;FG;sellable;Wardah;existing;;JTK02;FACE CLEANSER;TONER;WARDAH ACNEDERM PORE REFINING TONER;A-PRT-W100ML;a;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-SATG-W15ML;Wardah Acnederm Acne Spot Treatment Gel 15 ml (Pc(s));IDR;12545.454;Pc(s);15.3;g;;g;;;42;KOLI;6552;PLT;;TRL;FG;sellable;Wardah;existing;;JTK02;FACE MOISTURIZER;MOISTURIZER;WARDAH ACNEDERM TREATMENT GEL;A-SATG-W15ML;a;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-W0FP-W25GR;Wardah Acne Face Powder 25 gr (Pc(s));IDR;23454.546;Pc(s);25.0;g;;g;;;18;KOLI;;PLT;504;TRL;FG;sellable;Wardah;inactive;;JTK01;FACE MAKE UP;LOOSE POWDER;WARDAH ACNEDERM LOOSE POWDER;A-W0FP-W25GR;c;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-W1FS-W60ML;Wardah Acne Gentle Scrub 60 ml;IDR;13090.908;Pc(s);52.8;g;;g;;;24;KOLI;;PLT;;TRL;FG;sellable;Wardah;inactive;;JTK02;FACE CLEANSER;FACIAL SCRUB;WARDAH ACNEDERM SCRUB;A-W1FS-W60ML;c;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-W1MG-W40_ML;Acne Perfecting Moisurizer Gel Wardah 40 ml (Pc(s));IDR;17454.546;Pc(s);37.3;g;;g;;;30;KOLI;;PLT;;TRL;FG;sellable;Wardah;inactive;;JTK02;FACE MOISTURIZER;MOISTURIZER;WARDAH ACNEDERM DAY MOISTURIZER;A-W1MG-W40 ML;c;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-W1TG-W15ML;Wardah Acne Treatment Gel 15 ml;IDR;12545.454;Pc(s);13.1;g;;g;;;48;KOLI;;PLT;;TRL;FG;sellable;Wardah;inactive;;JTK02;FACE MOISTURIZER;MOISTURIZER;WARDAH ACNEDERM TREATMENT GEL;A-W1TG-W15ML;c;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
A-W1TT-W100ML;Wardah Acne Pore Tightening Toner 100 ml;IDR;16363.638;Pc(s);100.0;g;;g;;;20;KOLI;3120;PLT;;TRL;FG;sellable;Wardah;inactive;;JTK02;FACE CLEANSER;TONER;WARDAH ACNEDERM PORE TIGHTENING TONER;A-W1TT-W100ML;c;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
B-BMCA3-EM14GR;Emina Bare With Me Mineral Compact Powder 03 Amber 14 gr (Pc(s));IDR;21545.454;Pc(s);14.0;g;;g;;;36;KOLI;;PLT;936;TRL;FG;sellable;Emina;inactive;;JTK01;FACE MAKE UP;COMPACT POWDER;EMINA BARE WITH ME MINERAL COMPACTPOWDER;B-BMCA3-EM14GR;c;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
B-BMCE4-EM14GR;Emina Bare With Me Mineral Compact Powder 04 Ebony 14 gr (Pc(s));IDR;21545.454;Pc(s);14.0;g;;g;;;36;KOLI;;PLT;936;TRL;FG;sellable;Emina;inactive;;JTK01;FACE MAKE UP;COMPACT POWDER;EMINA BARE WITH ME MINERAL COMPACTPOWDER;B-BMCE4-EM14GR;c;x;;;;;;local;STD;False;;;;MASS;False;;Pc(s);;;
