SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
DUS-CSPQ-EILG;Dus CSPQ MFT Picnic Queen Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSPQ-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSPQADR0-EILG;Dus Dus CSPQ Art Day Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSPQADR0-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSPQR1-EILD;DUS CSPQ R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSPQR1-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSPR-EILD;Dus CSPR;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSPR-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSPTE100-W;Dus CS Pure Treatment Essence 100 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSPTE100-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSPTE100R1-W;Dus CS Pure Treatment Essence 100 R1 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSPTE100R1-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSPTE30-W;Dus CS Pure Treatment Essence 30 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSPTE30-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSPTE50-W;Dus CS Pure Treatment Essence 50 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSPTE50-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSPTE50R1-W;Dus CS Pure Treatment Essence 50 R1 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSPTE50R1-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSRDG15-W;Dus CS Refreshing Day Gel 15 W;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Wardah;;local;;;;;DUS-CSRDG15-W;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
