Korporat Code,Variant Seller/Vendor/Reference,Variant Seller/Percentage,Variant Seller/Delivery Lead Time,Variant Seller/QC Leadtime in days,Variant Seller/Min Qty,Variant Seller/Lot Size,Variant Seller/Vendor/Display Name,Variant Seller/Purchase Start Date,Variant Seller/Purchase End Date,Variant Seller/Incoterms,Variant Seller/Company/Display Name
DUS-LPRL05R0-W,2200043,1,4,2,100000,100,"KALINGGA JAYA, CV",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL05R0-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-12-30,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL05R0-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-30,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL05R1-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-11-26,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL05R1-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL05R2-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL06R0-W,2200043,1,4,2,100000,100,"KALINGGA JAYA, CV",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL06R0-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-12-30,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL06R0-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-30,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL06R1-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL06R1-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL06R2-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL07R0-W,2200043,1,4,2,100000,100,"KALINGGA JAYA, CV",,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL07R0-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-12-30,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL07R0-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-30,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL07R1-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL07R1-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL07R2-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
