SKU code;Supplier code;Percentage;Supplier lead time;QC lead time;MOQ;Lot size;Supplier description;No;Material start date;Material end date
SUNS-PNGEX-X;2100110;1;12;7;10;1;Mane Kancor Ingredients Private Limited;1466;202104;
SUNS-PR340-X;2100058;1;10;7;25;25;Menjangan Sakti, PT;1467;202104;
SUNS-PRSHD-X;2100058;1;10;7;20;20;Menjangan Sakti, PT;1468;202104;
SUNS-PRSHMS-X;2100058;1;10;7;25;25;Menjangan Sakti, PT;1469;202104;
SUNS-PTX-X;2100058;1;10;2;10;10;Menjangan Sakti, PT;1470;202104;
SUNS-TNAB-X;2100094;1;18;7;25;25;BASF Distribution Indonesia, PT;1471;202104;
SUNS-TNBS-X;2100094;1;18;7;20;20;BASF Distribution Indonesia, PT;1472;202104;
SUNS-TNSLTQ-X;2100094;1;18;7;25;25;BASF Distribution Indonesia, PT;1473;202104;
SUNS-TNSM-X;2100094;1;18;7;25;25;BASF Distribution Indonesia, PT;1474;202104;
SUNS-UVAPG-X;2100094;1;18;2;25;25;BASF Distribution Indonesia, PT;1475;202104;
SUNS-UVNT-X;2100094;1;18;2;60;60;BASF Distribution Indonesia, PT;1476;202104;
SURF-213K-X;2100012;1;14;2;200;200;Brenntag ,PT;1477;202104;
SURF-CCAB-X;2100041;1;12;2;200;200;Indokemika Jayatama, PT;1478;202116;
SURF-CPKOD-X;2100006;1;8;2;200;200;Bahtera Adi Jaya, PT;1479;202104;
SURF-CTISL-X;2308095;1;20;2;20;20;Croda Trading Indonesia, PT;1480;202125;
SURF-DIAK-X;2100050;1;12;2;17;17;Kemiko Indonesia, PT;1481;202104;
SURF-EC702C-X;2100041;1;2;2;160;160;Indokemika Jayatama, PT;1482;202116;
SURF-IXCSB-X;2100062;1;20;2;190.5;190.5;Nardevchem Kemindo, PT;1483;202107;
TALC-C-2KPD-X;2100079;1;8;2;20;20;Sinergi Multi Lestarindo, PT;1484;202104;
TALC-OSBRTPD-X;2100080;1;6;2;25;25;Sumber Indokemjaya, PT;1485;202104;
TALK-C-STJADAITO-K;2100050;1;20;2;20;20;Kemiko Indonesia, PT;1486;202104;
TEGO-L7-1--K;2100027;1;2;2;880;880;Evonik Sumi Asih, PT;1487;202104;
TEGS-MM-X;2303754;1;20;2;100;25;Evonik Indonesia, PT;1488;202104;
TEXA---K;2100094;1;8;2;800;160;BASF Distribution Indonesia, PT;1489;202104;
THIC-ACP9L-X;2200024;1;8;2;20;20;Chemco Prima Mandiri, PT;1490;;
THIC-AK10SNFC-X;2100050;1;20;7;20;20;Kemiko Indonesia, PT;1491;;
THIC-AMGM-X;2100013;1;10;7;10;10;Bronson & Jacobs Indonesia, PT;1492;202104;
THIC-ARAVC-;2300947;1;28;2;25;25;Clariant Indonesia, PT;1493;202104;
THIC-ARVLT-X;2300947;1;28;2;25;25;Clariant Indonesia, PT;1494;202104;
THIC-BGV-X;2100021;1;20;7;25;25;DKSH Indonesia, PT;1495;202104;
THIC-CMDSP-X;2100094;1;12;2;25;25;BASF Distribution Indonesia, PT;1496;202104;
THIC-GLD120T-X;2100085;1;20;2;70;70;Tritunggal Artha Makmur, PT;1497;202104;
THIC-LVK90-X;2100006;1;8;2;90;90;Bahtera Adi Jaya, PT;1498;202104;
THIC-MK25-X;2100050;1;20;7;20;20;Kemiko Indonesia, PT;1499;202104;
THIC-MKMTWLV-X;2100050;1;20;7;15;15;Kemiko Indonesia, PT;1500;;
THIC-MNTVL-X;2100057;1;16;2;25;25;Mega Setia Agung Kimia, PT;1501;202104;
THIC-NCHKP-X;2100050;1;12;2;10;10;Kemiko Indonesia, PT;1502;;
CAPC-CSGC4R0-MONF;2200120;1;14;2;10000;100;SHAMROCK (HK) LIMITED;1503;202104;
CAPC-CSGC5R0-MONF;2200120;1;14;2;10000;100;SHAMROCK (HK) LIMITED;1504;202104;
CAPC-CULML10R0-W;2200089;1;8;2;25536;1064;Techpack Asia, PT;1505;202104;
CAPC-CULML10TR0-W;2200093;1;4;2;20000;926;Tigermandiri Pratama, PT;1506;202133;
CAPC-CULML11R0-W;2200089;1;8;2;25536;1064;Techpack Asia, PT;1507;202104;
CAPC-CULML11TR0-W;2200093;1;4;2;20000;926;Tigermandiri Pratama, PT;1508;202133;
CAPC-CULML12R0-W;2200089;1;8;2;25536;1064;Techpack Asia, PT;1509;202104;
