"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Percentage","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Min Qty","Variant Seller/Lot Size","Variant Seller/Vendor/Display Name","Variant Seller/Purchase Start Date","Variant Seller/Purchase End Date","Variant Seller/Incoterms","Variant Seller/Company/Display Name"
"","2308095","1.0","20","2","160.0","160.0","CRODA TRADING INDONESIA, PT","2021-01-25","2022-04-19","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2308095","1.0","20","2","160.0","160.0","CRODA TRADING INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ARQU---K","2100040","1.0","18","2","170.0","170.0","IMCD INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"PARF-AV-97/1-K","2100048","1.0","16","2","1.0","1.0","JUTA RASA ABADI, PT","","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"EXTR-AV-2034599-K","2100060","1.0","2","7","5.0","5.0","MERPATI MAHARDIKA, PT","2021-01-25","2021-08-27","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"PARF-AVHR15-X","2100054","1.0","2","2","25.0","25.0","MANE INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"OIL-AVSB-X","2100031","1.0","16","2","5.0","5.0","GLOBAL CHEMINDO MEGATRADING, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SILI-AXU3-X","2100021","1.0","20","2","100.0","100.0","DKSH INDONESIA, PT","2021-01-25","2022-04-04","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100021","1.0","20","2","100.0","100.0","DKSH INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100021","1.0","20","2","16.0","16.0","DKSH INDONESIA, PT","2021-01-25","2021-06-04","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTI-AZCLR-X","2100052","1.0","14","7","10.0","10.0","LAUTAN LUAS, PT","2021-08-02","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"BHT-CRTL-X","2100009","1.0","8","2","20.0","20.0","BEHN MEYER CHEMICAL, PT","2021-01-25","2021-09-27","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100009","1.0","8","2","20.0","20.0","BEHN MEYER CHEMICAL, PT","2021-01-25","2022-05-06","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100115","0.8","8","2","20.0","20.0","REDACHEM INDONESIA, PT","2021-06-20","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100009","0.2","8","2","20.0","20.0","BEHN MEYER CHEMICAL, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"WARN-BBO12-X","2100050","1.0","20","2","1.0","1.0","KEMIKO INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"EMO-BRB2835-X","2100062","1.0","16","","20.0","960.0","NARDEVCHEM KEMINDO, PT","2022-04-04","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
