Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Korporat Code
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,WARN-CLRG-X,0.002576
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,WARN-ABIO-X,0.001386
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,BUTT-EBUSA-SBUR,0.1
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,EMU-CTL8-X,0.075
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,GLYC--ECOS-K,0.05
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,ARLA-165--K,0.04
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,STA--C18-K,0.03
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,OIL-ORJVA-X,0.03
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,CETY---K,0.015
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,PARF-OLVALF2-X,0.008
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,SILI-D2-TSFST-K,0.01
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,PENG-PHC-X,0.01
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,SQUA-AMYR-X,0.01
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,THIC-CMDSP-X,0.004
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,EDT-DSLV-X,0.001
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,ACTI-TINTT-X,0.001
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,ACTI-VEAC-X,0.001
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,EMO-RFNJO-X,0.0001
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,WARN-K-BULK,0.00097
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,WARN-B-BULK,0.00008
BUT-W0O-W50ML/BUT-W0O-BULK,BUT-W0O-BULK/FS.RND.W0329-VER.01,WARN-LT--BULK,0.00007
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,ACTI-VEAC-X,0.001
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,ACTI-TINTT-X,0.001
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,THIC-CMDSP-X,0.004
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,EXTR-GNGGE-X,0.005
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,EMO-RFNJO-X,0.0001
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,EMU-CTL8-X,0.075
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUTT-EBUSA-SBUR,0.1
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,WARN-B-BULK,0.00007
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,SILI-D2-TSFST-K,0.01
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,WARN-LT--BULK,0.0004
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,EXTR-LDEP090-X,0.005
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,CETY---K,0.015
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,EDT-DSLV-X,0.001
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,SQUA-AMYR-X,0.01
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,GLYC--ECOS-K,0.05
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,STA--C18-K,0.03
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,PARF-LVDLVLY-X,0.02
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,ARLA-165--K,0.04
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,OIL-ORJVA-X,0.03
BUT-W0LG-W50ML/BUT-W0LG-BULK,BUT-W0LG-BULK/FS.RND.W0330-VER.01,PENG-PHC-X,0.01
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,TALC-OSBRTPD-X,0.698072
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,CORN---K,0.2
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,TITA-C-STCR5-K,0.04
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,SERI-GH202-X,0.02
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,ZINC-STW-X,0.01
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,PEN-PRSVPE-X,0.008
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,SILI-2005-DC-K,0.005
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,PEN-SENSC50-X,0.004
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,ACTM-CTLA-X,0.0001
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,PARF-AMSKLG-X,0.0001
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,WARN-COGO--K,0.009544
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,WARN-CLRG-X,0.002996
B-CLCLPC-W/B-CLCLPC-BULK,B-CLCLPC-BULK/FS.RND.W0295.00,WARN-ABIO-X,0.002188
TC-R3LEC01-W/TC-R3LEC01-BULK,TC-R3LEC01-BULK/9,WARN-RED3ASTDMS-BULK,0.011484
