Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,Tidak ada BOM,Sediaan,Cek Bundling,Closing Level 1,Closing Level 2,Closing Level 3,Cek Closing Lvl1,Cek Closing Lvl2
FW-CFW-W/1,FW-CFW-W,DUS-CLMRC100-W,Packaging Material,1,Pc(s),STIC-VPWLF24HC31-MO,Liquid factory,FW-CFW-W,FW-CFW-W,,,STIC-ECAHMGR1-WPSB,
FW-CFWN2P-W/1,FW-CFWN2P-W,FW-RCFW-BULK,Semi Finished Goods,0.015,kg,STIC-VPWLF24HC41-MO,,FW-CFWN2P-W,,FW-CFWN2P-W,,HBL-AVG-BULK,
FW-CFWN2P-W/1,FW-CFWN2P-W,TUBE-CMRCF15-CL,Packaging Material,1,Pc(s),STIC-VPWLF24HC51-MO,,FW-CFWN2P-W,,FW-CFWN2P-W,,KB-EAR0-KMM125,
FW-CSGC01-B/1,FW-CSGC01-B,FW-CSGC-BULK,Semi Finished Goods,0.1,kg,STIC-VPWLF24HC62-MO,Liquid factory,FW-CSGC01-B,FW-CSGC01-B,,,TUBE-AVGR2-E2L,
FW-CSGC01-B/1,FW-CSGC01-B,TUBE-GCC100R0-BL,Packaging Material,1,Pc(s),STIC-VPWLF24HN10-MO,Liquid factory,FW-CSGC01-B,FW-CSGC01-B,,,HBL-ETBMA-BULK,
FW-CSGC01-B/1,FW-CSGC01-B,KB-BCR0-B,Packaging Material,0.033333,Pc(s),STIC-VPWLF24HN20-MO,Liquid factory,FW-CSGC01-B,FW-CSGC01-B,,,STIC-FBMBLSR0-ELL,
FW-FW01-KA/4,FW-FW01-KA,KB-KAHFBR0-K,Packaging Material,0.06667,Pc(s),STIC-VPWLF24HN30-MO,Liquid factory,FW-FW01-KA,FW-FW01-KA,,,STIC-BBMBLSR0-ELL,
FW-FW01-KA/4,FW-FW01-KA,TUBE-GEFS100R1-K,Packaging Material,1,Pc(s),STIC-VPWLF24HN40-MO,Liquid factory,FW-FW01-KA,FW-FW01-KA,,,BOTO-PETE250-ELL,
FW-FW01-KA/4,FW-FW01-KA,FW-FW01-BULK,Semi Finished Goods,0.1,kg,STIC-VPWLF24HN50-MO,Liquid factory,FW-FW01-KA,FW-FW01-KA,,,CAP-EARTHBALT-ELL,
FW-FWN1-OMG/1,FW-FWN1-OMG,FW-FW-BULK,Semi Finished Goods,0.009,kg,STIC-VPWLF24HW12-MO,Liquid factory,FW-FWN1-OMG,FW-FWN1-OMG,,,KB-BTLS150WNL32-K125,
FW-FWN1-OMG/1,FW-FWN1-OMG,PLAS-FPGFW9-OMG,Packaging Material,0.00017,Roll,STIC-VPWLF24HW21-MO,Liquid factory,FW-FWN1-OMG,FW-FWN1-OMG,,,HBL-ETBMB-BULK,
FW-FWN1-OMG/1,FW-FWN1-OMG,CAP-SPGFW9-OMG,Packaging Material,1,Pc(s),STIC-VPWLF24HW22-MO,Liquid factory,FW-FWN1-OMG,FW-FWN1-OMG,,,STIC-FMSBLSR0-ELL,
FW-FWN1-OMG/1,FW-FWN1-OMG,SACH-PGFW9-OMG,Packaging Material,1,Pc(s),STIC-VPWLF24HW30-MO,Liquid factory,FW-FWN1-OMG,FW-FWN1-OMG,,,STIC-BMSBLSR0-ELL,
FW-FWN1-OMG/1,FW-FWN1-OMG,KB-BERYLR0-OMG,Packaging Material,0.08333,Pc(s),STIC-VPWLF24HW32-MO,Liquid factory,FW-FWN1-OMG,FW-FWN1-OMG,,,BOTO-PETE250-ELL,
FW-FWN2-OMG/2,FW-FWN2-OMG,FW-FW-BULK,Semi Finished Goods,0.05,kg,STIC-VPWLF24HW33-MO,Liquid factory,FW-FWN2-OMG,FW-FWN2-OMG,,,CAP-EARTHBALT-ELL,
FW-FWN2-OMG/2,FW-FWN2-OMG,TUBE-PGFW50R1-OMG,Packaging Material,1,Pc(s),STIC-VPWLF24HW41-MO,Liquid factory,FW-FWN2-OMG,FW-FWN2-OMG,,,KB-BTLS150WNL32-K125,
FW-FWN2-OMG/2,FW-FWN2-OMG,KB-BERYLR0-OMG,Packaging Material,0.017857,Pc(s),STIC-VPWLF24HW42-MO,Liquid factory,FW-FWN2-OMG,FW-FWN2-OMG,,,HBL-ETBMC-BULK,
