"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","Created on"
"","","KUAS-BOMOBK-TRHG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-BTBO03R1-MOMSF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-BOR4-MO","Regular","1.0","Pc(s)",""
"","","STIC-BCBO3MOPPW-1W31","Regular","1.0","Pc(s)",""
"","","STIC-QBOS03R0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02777","Pc(s)",""
"BO-SKCS06-MO6G","7","BO-S06CS6GRRNFS-MO","Refill","1.0","Pc(s)","2022-11-25 07:06:56"
"","","CONT-BOLB1MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KUAS-BOMOBK-TRHG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-BTBO06R1-MOMSF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-BOR4-MO","Regular","1.0","Pc(s)",""
"","","STIC-BCBO6MOPPW-1W31","Regular","1.0","Pc(s)",""
"","","STIC-QBOS06R0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02777","Pc(s)",""
"BO-SKSS07-MO6G","7","BO-S07SS6GRRNFS-MO","Refill","1.0","Pc(s)","2022-11-25 07:07:28"
"","","CONT-BOLB1MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KUAS-BOMOBK-TRHG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-BTBO07R1-MOMSF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-BOR4-MO","Regular","1.0","Pc(s)",""
"","","STIC-BCBO7MOPPW-1W31","Regular","1.0","Pc(s)",""
"","","STIC-QBOS07R0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02777","Pc(s)",""
"BO-SKCC08-MO6G","7","BO-S08CC6GRRNFS-MO","Refill","1.0","Pc(s)","2022-11-25 07:08:02"
"","","CONT-BOLB1MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KUAS-BOMOBK-TRHG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-BTBO08R1-MOMSF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-BOR4-MO","Regular","1.0","Pc(s)",""
"","","STIC-BCBO8MOPPW-1W31","Regular","1.0","Pc(s)",""
"","","STIC-QBOS08R0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02777","Pc(s)",""
"BO-SKST09-MO6G","7","BO-SST09-RP-MO6GR","Refill","1.0","Pc(s)","2022-11-25 07:08:32"
"","","CONT-BOLB1MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KUAS-BOMOBK-TRHG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-BTBO09R1-MOMSF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-BOR4-MO","Regular","1.0","Pc(s)",""
"","","STIC-BCBO9-MOPPW","Regular","1.0","Pc(s)",""
"","","STIC-QBOS09R0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02777","Pc(s)",""
"BO-SKPP10-MO6G","6","BO-SKPP10-RP-MO6GR","Refill","1.0","Pc(s)","2022-11-25 07:09:04"
"","","CONT-BOLB1MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KUAS-BOMOBK-TRHG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-BTBO10R1-MOMSF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-BOR4-MO","Regular","1.0","Pc(s)",""
"","","STIC-BCBO10-MOPPW","Regular","1.0","Pc(s)",""
"","","STIC-QBOS10R0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02778","Pc(s)",""
"EO-BOTB01-B","Rework","EO-NSBOTB01-B","Not Sellable","1.0","Pc(s)","2022-11-25 07:14:51"
"","","DUS-EOBTTBBR0-B","Regular","1.0","Pc(s)",""
"","","IBOX-OILBR0-B","Regular","0.0833333","Pc(s)",""
"","","KB-BOILR0-B","Regular","0.0104167","Pc(s)",""
"EO-BOSN01-B","Rework","EO-NSBOSN01-B","Not Sellable","1.0","Pc(s)","2022-11-25 07:16:40"
"","","DUS-EOBSEBR0-B","Regular","1.0","Pc(s)",""
"","","IBOX-OILBR0-B","Regular","0.0833333","Pc(s)",""
"","","KB-BOILR0-B","Regular","0.0104167","Pc(s)",""
"S-NSSEC-W","4","S-NSS-BULK","Bulk","0.17","kg","2022-11-25 09:15:41"
"","","BOTO-NSS1702R2-W","Regular","1.0","Pc(s)",""
"","","STIC-WNSS170R1-W","Regular","1.0","Pc(s)",""
"","","CAP-BNSS1702R0-WPP","Regular","1.0","Pc(s)",""
"","","KB-W200R1-W","Regular","0.0416667","Pc(s)",""
"","","STIC-QRNSS-W","Regular","1.0","Pc(s)",""
"PRM-PCCYW-MO","3","PRM-PCCYW-BULK","Bulk","0.025","kg","2022-03-29 06:23:49"
"","","TUBE-PCCPYR0-MO3L","Regular","1.0","Pc(s)",""
"","","DUS-PCCPR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-VBPCCPYR0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOCC36R1-270CF","Regular","0.01667","Pc(s)",""
"HBL-GM-L","1","HBL-GM-BULK","Bulk","0.25","kg","2022-11-29 02:36:10"
"S-A1SEC-W","4","S-A1-WBULK","Bulk","0.17","kg","2022-11-29 08:37:31"
"","","BOTO-ADS170R3-WHDPE","Regular","1.0","Pc(s)",""
