Kode Item,UOM,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024
BOTO-CFMLI01R0-W,Pc(s),0,0,0,0,0,0,0,0,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,0,0
BOTO-CFMLI02R0-W,Pc(s),0,0,0,0,0,0,0,0,0,0,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,0
BOTO-CFMLI03R0-W,Pc(s),0,0,0,0,0,0,0,0,2739,0,2739,0,0,2739,0,2739,0,2739,0,2739,0,2739,0,2739,0,0,2739,0,2739,0,2739,0,2739,0,2739,0,0,2739,0,2739,0,2739,0,2739,0,2739,0,2739,0,0,2739,0,2739,0,2739,0,2739,0,2739,0,0,2739,0,2739,0,0,0,0,0
BOTO-CFMLI04R0-W,Pc(s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739,0,0,0,0,0
BOTO-CFMLI06R0-W,Pc(s),0,0,0,0,2739,0,0,2739,0,0,2739,0,0,0,2739,0,0,2739,0,0,2739,0,0,0,2739,0,0,2739,0,0,2739,0,0,0,2739,0,0,2739,0,0,2739,0,0,0,2739,0,0,2739,0,0,2739,0,0,2739,0,0,0,2739,0,0,2739,0,0,2739,0,0,0,0,0
BOTO-CFMLI07R0-W,Pc(s),0,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,0,0
BOTO-CFMLI08R0-W,Pc(s),0,0,0,0,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,2739,0,0,0,2739,0,0,0,0,0,0,0
BOTO-CLFR0-OMG,Pc(s),98665,25585,44090,25585,43485,44090,40080,34300,54575,38780,51390,28990,69675,28990,40080,44090,54575,19805,53275,40080,48795,35375,48795,40080,24285,45390,43485,55180,34990,28990,69675,28990,45390,28990,64365,19805,54575,44090,54575,19805,64365,28990,48795,35375,48795,46080,24285,45390,43485,55180,28990,40080,58585,14495,59885,38780,54575,19805,64365,34300,54575,14495,72675,31990,45390,24285,0,28990,14495
BOTO-CLVMR0-E,Pc(s),0,0,3448,0,3448,0,0,3448,0,3448,0,3448,0,3448,0,3448,0,3448,0,0,3448,0,3448,0,3448,0,3448,0,3448,0,3448,0,3448,0,0,3448,0,3448,0,3448,0,3448,0,3448,0,3448,0,3448,0,0,3448,0,3448,0,3448,0,3448,0,3448,0,3448,0,0,3448,0,0,0,0,0
BOTO-COS10R1-CL,Pc(s),0,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
