Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,WARN-TE--PBULK,Intermediate,0.00040,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SOLV-BGKHN-X,Raw Material,0.05000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-FZ3196-X,Raw Material,0.02000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,ABIL-WE09-X,Raw Material,0.02500,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,WARN-S12RN217--K,Raw Material,0.00428,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,UVIN-MC80-BASF,Raw Material,0.07500,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,NT---K,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,WARN-S12YL--K,Raw Material,0.01400,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,ALAN--AK-K,Raw Material,0.00100,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,BENT-BGISDV-X,Raw Material,0.05000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,EMU-PS-,Raw Material,0.02000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,POWD-9701-,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,ZINC-10PL-X,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,GARA-RFS-X,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,TITA-OTS2CR50-,Raw Material,0.08000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,EDT-B--K,Raw Material,0.00050,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-2005-DC-K,Raw Material,0.03000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,TIT-T85-X,Raw Material,0.02000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,MATR-P5P3--K,Raw Material,0.00200,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-DC749--X,Raw Material,0.00010,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-345-DC-K,Raw Material,0.02000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,BIO-HYAL-BIL,Raw Material,0.00020,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,VITA-B3PC-X,Raw Material,0.03000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-DC9045-X,Raw Material,0.15000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,VCIP---K,Raw Material,0.00050,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,OLIV-900BT-X,Raw Material,0.00400,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,VITA-DL E-MS,Raw Material,0.00200,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,STEA-A-EST05M,Raw Material,0.02200,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,ORGA-EXD-ARK,Raw Material,0.00200,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,PEN-PRSVPE-X,Raw Material,0.00500,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,EXTR-ALVGE-X,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,EXTR-LCRG-X,Raw Material,0.00010,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,WARN-TE--PBULK,Intermediate,0.00040,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SOLV-BGKHN-X,Raw Material,0.05000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-FZ3196-X,Raw Material,0.02000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,ABIL-WE09-X,Raw Material,0.02500,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,WARN-S12RN217--K,Raw Material,0.00428,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,UVIN-MC80-BASF,Raw Material,0.07500,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,NT---K,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,WARN-S12YL--K,Raw Material,0.01400,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,ALAN--AK-K,Raw Material,0.00100,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,BENT-BGISDV-X,Raw Material,0.05000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,EMU-PS-,Raw Material,0.02000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,POWD-9701-,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,ZINC-10PL-X,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,GARA-RFS-X,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,TITA-OTS2CR50-,Raw Material,0.08000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,EDT-B--K,Raw Material,0.00050,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-2005-DC-K,Raw Material,0.03000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,TIT-T85-X,Raw Material,0.02000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,MATR-P5P3--K,Raw Material,0.00200,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-DC749--X,Raw Material,0.00010,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-345-DC-K,Raw Material,0.02000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,SOLV-BGKHN-X,Raw Material,0.05000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,UVIN-MC80-BASF,Raw Material,0.07500,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,ALAN-SL--X,Raw Material,0.00100,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,VCIP---K,Raw Material,0.00050,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,WARN-S12YL--K,Raw Material,0.01616,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,WARN-S12RN217--K,Raw Material,0.00546,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,EXTR-LCRG-X,Raw Material,0.00010,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,BIO-HYAL-BIL,Raw Material,0.00020,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,SILI-DC749--X,Raw Material,0.00010,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,PEN-PRSVPE-X,Raw Material,0.00500,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,SILI-345-DC-K,Raw Material,0.02000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,OLIV-900BT-X,Raw Material,0.00400,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,TITA-OTS2CR50-,Raw Material,0.08000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,MATR-P5P3--K,Raw Material,0.00200,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,VITA-DL E-MS,Raw Material,0.00200,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,WARN-TE--PBULK,Intermediate,0.00150,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,BENT-BGISDV-X,Raw Material,0.05000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,GARA-RFS-X,Raw Material,0.01000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,EXTR-ALVGE-X,Raw Material,0.01000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,ORGA-EXD-ARK,Raw Material,0.00200,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,NT---K,Raw Material,0.01000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,EMU-PS-,Raw Material,0.02000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,VITA-B3PC-X,Raw Material,0.03000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,ABIL-WE09-X,Raw Material,0.02500,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,ZINC-10PL-X,Raw Material,0.01000,kg
BBC-LN-BULK/Normal (Odoo46),BBC-LN-BULK,EDT-B--K,Raw Material,0.00050,kg
