product_tmpl_id/default_code,product_tmpl_id/old_koitem,product_tmpl_id/internal_name,product_id/categ_id/display_name,location_id/display_name,lot_id/name,quantity,product_uom_id/name,PUP May,Total Price @PUP,,,Stock 1 Jun 23,Total Price PUP May,"8,231,812,842.00",Qty in pcs,"19,728,415.28"
CAPA-JKLTS02R0-OMG,CAPA-JKLTS02R0-OMG,Cap+Applicator+Wiper Juicy Kiss Lip Tint Serum 02 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-05D2,GBMJTK4/JD271275,27,Pc(s),967.428,26120.556,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AA-08C2,GBMJTK4/JB071099,0,pc(s),1474.8493267543,0,,,,,,,
SACH-PGM75-OMG,SACH-PGM75-OMG,Sachet Peach Glowing Cream 7.5 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AE-07A1,GBMJTK4/JE111271,30000,Pc(s),642.959561415011,19288786.8424503,,,,,,,
CAP-SPGM75-OMG,CAP-SPGM75-OMG,Cap Sachet Peach Glowing Cream 7.5 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AE-07A1,GBMJTK4/JE111272,30000,Pc(s),0,0,,,,,,,
STIC-VMKLC01R1-OMG,STIC-VMKLC01R1-OMG,Sticker Varian Matte Kiss Lip Cream 01 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-1,GBMJTK4/II13507,248,pc(s),33.3333333333333,8266.66666666667,,,,,,,
BOTO-MKLCR0-OMG,BOTO-MKLCR0-OMG,Bottle Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AE-08B1,GBMJTK4/JB031091,0,pc(s),1474.8493267543,0,,,,,,,
STIC-VMKLC05R1-OMG,STIC-VMKLC05R1-OMG,Sticker Varian Matte Kiss Lip Cream 05 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-6,GBMJTK4/IJ18676,432,pc(s),34.5,14904,,,,,,,
STIC-VMKLC09R1-OMG,STIC-VMKLC09R1-OMG,Sticker Varian Matte Kiss Lip Cream 09 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-6,GBMJTK4/IJ25699,683,pc(s),34.9886188000562,23897.2266404384,,,,,,,
SACH-PGFW9-OMG,SACH-PGFW9-OMG,Sachet Peach Glowing Face Wash 9 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AE-06A2,GBMJTK4/JF221367,30000,Pc(s),656.807763185585,19704232.8955675,,,,,,,
CAP-SPGFW9-OMG,CAP-SPGFW9-OMG,Cap Sachet Peach Glowing Face Wash 9 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AE-06A2,GBMJTK4/JF221368,30000,Pc(s),0,0,,,,,,,
