Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
DUS-LMP2R4-W,9616,28848,9532,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LMP3R4-W,4808,19232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LMP4R4-W,4808,24040,5202,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LNC20RLR1-W,47136,94272,141408,141408,141408,188544,94272,141408,141408,141408,94272,188544,141408,94272,188544,141408,
DUS-LNC30RLR1-W,0,64602,161704,97102,129403,129403,97102,64602,161704,97102,129403,129403,97102,129403,96903,129403,
DUS-LPE01R3-W,666,2994,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPE02R3-W,1280,3840,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPE03R3-W,488,1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPE04R3-W,1280,3840,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPL01R2-W,6212,18636,31060,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPL02R2-W,15088,75440,21935,2920,4380,2920,0,0,0,0,0,0,0,0,0,0,
DUS-LPL03R2-W,7544,30176,9004,2920,4380,1460,0,0,0,0,0,0,0,0,0,0,
DUS-LPL04R2-W,7544,30176,30176,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPL05R2-W,2936,11744,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPL06R2-W,1064,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPL07R0-W,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRE01R1-W,1758,3516,4102,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRE02R1-W,3476,6952,3476,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRE03R1-W,1172,2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRE04R1-W,1758,1758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRL01R2-W,19316,57948,19605,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRL02R2-W,27957,163130,89347,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRL03R2-W,26804,107216,27093,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRL04R2-W,27236,81708,54472,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRL05R2-W,4484,8968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRL06R2-W,4484,8968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LPRL07R2-W,4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LSA30R2-W,95304,61870,185234,154874,122977,154874,154874,92617,185234,154874,154874,154874,122977,154874,153337,60720,
DUS-LSAR0-W,0,20665,0,20665,20665,20665,0,20665,20665,0,20665,20665,0,20665,20665,0,
DUS-LTER0-EILD,0,0,0,0,0,0,0,0,450,0,450,0,450,0,0,450,
DUS-LWMR0-OMG,0,31308,31308,31308,31308,62616,31308,0,62616,31308,31308,31308,31308,31308,62616,31308,
DUS-MAS20R1-OMG,0,0,25020,37530,37530,50040,25020,12510,12510,25020,12510,12510,25020,12510,12510,12510,
DUS-MF01LR0-E,0,0,0,0,0,4410,0,0,0,0,0,4410,0,0,0,0,
DUS-MF02NR0-E,0,0,4410,0,0,0,0,4410,0,0,0,4410,0,0,4410,0,
DUS-MF03CR0-E,4410,0,0,0,0,0,0,0,0,0,0,4410,0,0,0,0,
DUS-MF04MR0-E,4410,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,
DUS-MFPFRR0-IP,2172,8304,13092,10324,10948,13092,9968,7824,12496,9968,11304,14456,11332,10948,12496,10920,
DUS-MKLCCER0-OMG,161076,1181224,1020148,912764,966456,1181224,859072,697996,1127532,1020148,859072,1181224,912764,912764,1181224,859072,
DUS-MKLCR2-OMG,328680,1223562,1425012,1093984,1081444,1398396,1093984,861540,1384320,1068904,1098184,1416612,1085644,1164416,1381656,1098184,
DUS-MKLCSER0-OMG,106320,265800,372120,53160,212640,212640,212640,159480,53160,0,0,0,0,0,0,0,
DUS-MLMPR0-IP,2264,2264,9056,6792,4528,6792,11320,4528,6792,13584,9056,9056,2264,15848,9056,9056,
DUS-MMB01-MO,284,284,1136,852,852,1136,852,568,1136,852,852,1136,852,852,852,852,
DUS-MMB02-MO,0,0,568,568,284,568,284,284,568,568,284,568,284,568,568,284,
DUS-MMB03-MO,0,0,0,568,852,568,852,284,852,568,568,852,568,852,568,852,
DUS-MMB04-MO,0,284,284,568,568,852,852,284,852,568,852,852,568,568,852,568,
DUS-MMB05-MO,568,568,1704,1136,1420,1704,1420,1136,1420,1420,1420,1704,1420,1420,1704,1136,
DUS-MP01SRR3-E,0,0,16452,16452,0,16452,16452,0,16452,0,16452,16452,0,16452,16452,0,
DUS-MP02SGR3-E,0,15908,15908,0,15908,0,15908,0,15908,0,15908,0,15908,0,15908,0,
DUS-MP03SMR3-E,0,7948,0,7948,0,7948,7948,0,7948,0,7948,0,7948,7948,0,7948,
DUS-MP04SIR3-E,0,0,0,7901,7901,0,7901,0,7901,7901,0,7901,7901,0,7901,0,
DUS-MP05SUR2-E,0,15764,0,15764,0,0,15764,0,15764,0,0,15764,0,15764,0,0,
DUS-MP06SAR2-E,0,7901,0,7901,7901,7901,7901,0,7901,7901,7901,7901,0,7901,7901,0,
DUS-MPASET100R0-E,0,0,4965,3310,3310,4965,3310,1655,4965,3310,3310,4965,3310,3310,4965,3310,
DUS-MPASFS30-E,0,0,31870,0,0,31870,0,0,31870,0,31870,0,0,31870,0,31870,
DUS-MPASNG20-E,0,0,0,28584,0,28584,0,0,28584,0,0,28584,0,28584,0,0,
DUS-MPASSGR1-ELG,17630,0,17630,17630,17630,17630,0,0,0,0,0,0,0,0,0,0,
DUS-NBHO30-K,690,0,2070,1380,1380,2070,1380,1380,1380,1380,2070,1380,2070,1380,1380,1380,
