data update,30 Mei 2023,,
helper,Korporat Code,Variant Seller/Vendor/Display Name,Variant Seller/Min Qty
"BOTO-BWSS550-BDNATAMAS PLAST, PT",BOTO-BWSS550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWSS550-BDNATAMAS PLAST, PT",BOTO-BWSS550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWSS550-BDNATAMAS PLAST, PT",BOTO-BWSS550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWYZ550-BDNATAMAS PLAST, PT",BOTO-BWYZ550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWYZ550-BDNATAMAS PLAST, PT",BOTO-BWYZ550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWYZ550-BDNATAMAS PLAST, PT",BOTO-BWYZ550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWYZ550-BDNATAMAS PLAST, PT",BOTO-BWYZ550-BD,"NATAMAS PLAST, PT",25000
BOTO-C240RPP-PET240,BOTO-C240RPP-PET24,0,0
BOTO-C240SBP-PET240,BOTO-C240SBP-PET24,0,0
BOTO-C240TBP-PET240,BOTO-C240TBP-PET24,0,0
BOTO-C750GTP-PET280,BOTO-C750GTP-PET28,0,0
BOTO-C750RPP-PET280,BOTO-C750RPP-PET28,0,0
BOTO-C750SBP-PET280,BOTO-C750SBP-PET28,0,0
"BOTO-CADLPR0-WTECHPACK ASIA, PT",BOTO-CADLPR0-W,"TECHPACK ASIA, PT",300000
"BOTO-CAUSSSR0-TVNEW RED&WHITE MANUFACTORY, PT",BOTO-CAUSSSR0-TV,"NEW RED&WHITE MANUFACTORY, PT",15000
"BOTO-CDAMGR0-WA.BEST INTER PRODUCTS CO.,LTD",BOTO-CDAMGR0-W,"A.BEST INTER PRODUCTS CO.,LTD",5000
"BOTO-CDAMGR0-WA.BEST INTER PRODUCTS CO.,LTD",BOTO-CDAMGR0-W,"A.BEST INTER PRODUCTS CO.,LTD",5000
"BOTO-CDAMGR0-WA.BEST INTER PRODUCTS CO.,LTD",BOTO-CDAMGR0-W,"A.BEST INTER PRODUCTS CO.,LTD",5000
"BOTO-CDFMR0-WPETZHEJIANG JM INDUSTRY CO., LTD",BOTO-CDFMR0-WPET,"ZHEJIANG JM INDUSTRY CO., LTD",10000
"BOTO-CDFMR1-WPETZHEJIANG JM INDUSTRY CO., LTD",BOTO-CDFMR1-WPET,"ZHEJIANG JM INDUSTRY CO., LTD",10000
"BOTO-CDRTS10R0-CLFLYING DRAGON INTL INDUSTRY CO., LTD",BOTO-CDRTS10R0-CL,"FLYING DRAGON INTL INDUSTRY CO., LTD",3000
BOTO-CFLISR0-W0,BOTO-CFLISR0-W,0,0
"BOTO-CFMLI01R0-WTECHPACK ASIA, PT",BOTO-CFMLI01R0-W,"TECHPACK ASIA, PT",20000
"BOTO-CFMLI02R0-WTECHPACK ASIA, PT",BOTO-CFMLI02R0-W,"TECHPACK ASIA, PT",20000
"BOTO-CFMLI03R0-WTECHPACK ASIA, PT",BOTO-CFMLI03R0-W,"TECHPACK ASIA, PT",20000
"BOTO-CFMLI04R0-WTECHPACK ASIA, PT",BOTO-CFMLI04R0-W,"TECHPACK ASIA, PT",20000
"BOTO-CFMLI05R0-WTECHPACK ASIA, PT",BOTO-CFMLI05R0-W,"TECHPACK ASIA, PT",20000
BOTO-CFMLI06P-W0,BOTO-CFMLI06P-W,0,0
"BOTO-CFMLI06R0-WTECHPACK ASIA, PT",BOTO-CFMLI06R0-W,"TECHPACK ASIA, PT",20000
BOTO-CFMLI07P-W0,BOTO-CFMLI07P-W,0,0
"BOTO-CFMLI07R0-WTECHPACK ASIA, PT",BOTO-CFMLI07R0-W,"TECHPACK ASIA, PT",20000
BOTO-CFMLI08P-W0,BOTO-CFMLI08P-W,0,0
"BOTO-CFMLI08R0-WTECHPACK ASIA, PT",BOTO-CFMLI08R0-W,"TECHPACK ASIA, PT",20000
BOTO-CLFR0-OMGPT PARAGON TECHNOLOGY AND INNOVATION,BOTO-CLFR0-OMG,PT PARAGON TECHNOLOGY AND INNOVATION,1
"BOTO-CLFR0-OMGNATAMAS PLAST, PT",BOTO-CLFR0-OMG,"NATAMAS PLAST, PT",50000
"BOTO-CLFR0-OMGNATAMAS PLAST, PT",BOTO-CLFR0-OMG,"NATAMAS PLAST, PT",50000
BOTO-CLVMR0-ESHAMROCK (HK) LIMITED,BOTO-CLVMR0-E,SHAMROCK (HK) LIMITED,20000
BOTO-CLVMR0-ESHAMROCK (HK) LIMITED,BOTO-CLVMR0-E,SHAMROCK (HK) LIMITED,20000
BOTO-CLVMR0-ESHAMROCK (HK) LIMITED,BOTO-CLVMR0-E,SHAMROCK (HK) LIMITED,20000
"BOTO-CMLCR0-WTECHPACK ASIA, PT",BOTO-CMLCR0-W,"TECHPACK ASIA, PT",50000
BOTO-CMR0-EMSHAMROCK (HK) LIMITED,BOTO-CMR0-EM,SHAMROCK (HK) LIMITED,24000
"BOTO-COS10-WFLYING DRAGON INTL INDUSTRY CO., LTD",BOTO-COS10-W,"FLYING DRAGON INTL INDUSTRY CO., LTD",10000
"BOTO-COS10-WFLYING DRAGON INTL INDUSTRY CO., LTD",BOTO-COS10-W,"FLYING DRAGON INTL INDUSTRY CO., LTD",10000
"BOTO-COS10R1-CLFLYING DRAGON INTL INDUSTRY CO., LTD",BOTO-COS10R1-CL,"FLYING DRAGON INTL INDUSTRY CO., LTD",3000
"BOTO-COTR0-BANUGRAH LUMEI RAYA, PT",BOTO-COTR0-B,"ANUGRAH LUMEI RAYA, PT",5000
"BOTO-COTR0-BANUGRAH LUMEI RAYA, PT",BOTO-COTR0-B,"ANUGRAH LUMEI RAYA, PT",5000
BOTO-CPRLR0-WSHAMROCK (HK) LIMITED,BOTO-CPRLR0-W,SHAMROCK (HK) LIMITED,15000
BOTO-CPRLR0-WSHAMROCK (HK) LIMITED,BOTO-CPRLR0-W,SHAMROCK (HK) LIMITED,15000
BOTO-CPRLR0-WSHAMROCK (HK) LIMITED,BOTO-CPRLR0-W,SHAMROCK (HK) LIMITED,15000
"BOTO-CSDSBS20R0-WNINGBO SOMEWANG PACKAGING CO., LTD",BOTO-CSDSBS20R0-W,"NINGBO SOMEWANG PACKAGING CO., LTD",50000
"BOTO-CSDSBS20R0-WNINGBO SOMEWANG PACKAGING CO., LTD",BOTO-CSDSBS20R0-W,"NINGBO SOMEWANG PACKAGING CO., LTD",50000
"BOTO-CSDSBS20R0-WNINGBO SOMEWANG PACKAGING CO., LTD",BOTO-CSDSBS20R0-W,"NINGBO SOMEWANG PACKAGING CO., LTD",50000
"BOTO-CSDSBS20R0-WNINGBO SOMEWANG PACKAGING CO., LTD",BOTO-CSDSBS20R0-W,"NINGBO SOMEWANG PACKAGING CO., LTD",50000
"BOTO-CSET125R1-WNATAMAS PLAST, PT",BOTO-CSET125R1-W,"NATAMAS PLAST, PT",10000
"BOTO-CSPTE1000R0-WJAYATAMA SELARAS, PT",BOTO-CSPTE1000R0-W,"JAYATAMA SELARAS, PT",20000
"BOTO-CSPTE1000R0-WJAYATAMA SELARAS, PT",BOTO-CSPTE1000R0-W,"JAYATAMA SELARAS, PT",20000
"BOTO-CSPTE1000R0-WJAYATAMA SELARAS, PT",BOTO-CSPTE1000R0-W,"JAYATAMA SELARAS, PT",20000
"BOTO-CSPTE1000R0-WJAYATAMA SELARAS, PT",BOTO-CSPTE1000R0-W,"JAYATAMA SELARAS, PT",20000
"BOTO-CSPTE1000R0-WJAYATAMA SELARAS, PT",BOTO-CSPTE1000R0-W,"JAYATAMA SELARAS, PT",20000
"BOTO-CSPTE30-WALBEA RIGID PACKAGING SURABAYA, PT",BOTO-CSPTE30-W,"ALBEA RIGID PACKAGING SURABAYA, PT",25000
"BOTO-CSPTE50R0-WA.BEST INTER PRODUCTS CO.,LTD",BOTO-CSPTE50R0-W,"A.BEST INTER PRODUCTS CO.,LTD",10000
"BOTO-CSPTE50R0-WA.BEST INTER PRODUCTS CO.,LTD",BOTO-CSPTE50R0-W,"A.BEST INTER PRODUCTS CO.,LTD",10000
"BOTO-CSPTE50R0-WA.BEST INTER PRODUCTS CO.,LTD",BOTO-CSPTE50R0-W,"A.BEST INTER PRODUCTS CO.,LTD",10000
"BOTO-CTKBE10-WFLYING DRAGON INTL INDUSTRY CO., LTD",BOTO-CTKBE10-W,"FLYING DRAGON INTL INDUSTRY CO., LTD",25000
"BOTO-CTKBE10-WFLYING DRAGON INTL INDUSTRY CO., LTD",BOTO-CTKBE10-W,"FLYING DRAGON INTL INDUSTRY CO., LTD",25000
"BOTO-CTKBE10R1-CLFLYING DRAGON INTL INDUSTRY CO., LTD",BOTO-CTKBE10R1-CL,"FLYING DRAGON INTL INDUSTRY CO., LTD",3000
BOTO-CTR0-EYU RONG COSMETICS PACKAGING LIMITED,BOTO-CTR0-E,YU RONG COSMETICS PACKAGING LIMITED,50000
"BOTO-CUCR0-IPHCP PACKAGING HONG KONG, LTD",BOTO-CUCR0-IP,"HCP PACKAGING HONG KONG, LTD",20000
"BOTO-CUCR0-IPHCP PACKAGING HONG KONG, LTD",BOTO-CUCR0-IP,"HCP PACKAGING HONG KONG, LTD",20000
"BOTO-CUCR0-IPHCP PACKAGING HONG KONG, LTD",BOTO-CUCR0-IP,"HCP PACKAGING HONG KONG, LTD",20000
"BOTO-CVML09KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML09KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML09KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML09KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML09KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML09KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML09KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML09KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML10KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML10KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML10KR0-WKEMAS INDAH MAJU, PT",BOTO-CVML10KR0-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML10KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML10KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML10KR1-WKEMAS INDAH MAJU, PT",BOTO-CVML10KR1-W,"KEMAS INDAH MAJU, PT",50000
"BOTO-CVML10R0-WTECHPACK ASIA, PT",BOTO-CVML10R0-W,"TECHPACK ASIA, PT",25000
