Kode Item,Nama Internal,Internal Category,Brand,Qty,Total Price,Status,MOQ,Laptrima,Scrap,SMB,"Kategori FG
(NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Last Incoming,Last SMB
STIC-BTUHM6R1-MOMSF,Sticker Bottom UHM 006 R1 MO,,,5588,11,inactive,20000,0,0,Yes,Reguler,< 2019,2022
STIC-BTYZBW-BD,Sticker Back Tester YZBW 60 BD,,,662,1000,existing,2300,265,0,Yes,Reguler,2023,2022
STIC-BWLS01R0-E,Sticker Bottom Watercolor Lip Serum 01 E,,,74277,131.937396,existing,10000,55000,0,No,Reguler,2023,2023
STIC-BWLS02R0-E,Sticker Bottom Watercolor Lip Serum 02 E,,,66875,77.28833406,existing,10000,50000,30,No,Reguler,2023,2023
STIC-BWLS03R0-E,Sticker Bottom Watercolor Lip Serum 03 E,,,21298,309.4227274,existing,10000,5000,16,No,Reguler,2023,2023
STIC-BWLS04R0-E,Sticker Bottom Watercolor Lip Serum 04 E,,,19160,160.3116699,existing,10000,0,18,No,Reguler,2023,2023
STIC-BWSSW-W,Sticker Bundling White Secret Series Watsons W,,,28,1350,inactive,0,0,0,Yes,Reguler,< 2019,2021
STIC-CCBBMP50R1-W,Sticker Cover Creamy Body Butter Milk & Pearl 50 R1 W,,,5000,242,0,5000,5000,0,Yes,,2023,< 2019
STIC-CCTSMRR0-E,Sticker Cover Capsule Treat Sleeping Mask Rice Emina,,,4260,200,inactive,15000,0,0,Yes,Reguler,2021,2021
STIC-CDPR22-W,Sticker Crystallure Decorative Package Ramadhan 2022 W,,,31,1375,new product,1000,0,0,Yes,Reguler,2022,2022
STIC-CNDAACMR1-W,Sticker Cover ND Alpine Apple Nutritive Gel Capsule Mask W,,,21934,1098.540976,existing,10000,0,0,Yes,Reguler,2023,2023
STIC-CNDABCMR0-W,Sticker Cover ND Amazonian Acai Berry Antiox Capsule Mask W,,,12735,917.6979748,existing,10000,0,0,Yes,Reguler,2023,2022
STIC-CNDMOCMR0-W,Sticker Cover ND Milky Oat Exfoliating Scrub Capsule Mask W,,,19041,509.9637713,existing,10000,0,0,Yes,Reguler,2023,2023
STIC-CNDOPCMR0-W,Sticker Cover ND Orange Pom Bright Wash Off Capsule Mask W,,,14350,297.6163306,existing,10000,0,30,Yes,Reguler,2021,2023
STIC-CNDTTCMR0-W,Sticker Cover ND Tea Tree Oil Control Clay Capsule Mask W,,,25352,1298.172805,existing,10000,0,0,Yes,Reguler,2023,2023
STIC-COCBBLG15-R2PP,Sticker Cover CBB Lavender 150 ROLL R2 W (Pc(s)),,,27709,1538.136122,inactive,5000,0,0,Yes,Reguler,< 2019,2022
STIC-COCBBLG50-R2PP,Sticker Cover CBB Lavender 50 ROLL R2 W (Pc(s)),,,3834,284,inactive,5000,0,0,No,Reguler,2021,2023
STIC-COCBBMP15-R2PP,Sticker Cover CBB Milk 150 ROLL R2 W,,,18696,330,inactive,5000,0,0,Yes,Reguler,2020,< 2019
STIC-COCBBPF15-R2PP,Sticker Cover CBB Passion 150 ROLL R2 W (Pc(s)),,,12459,765.4852321,inactive,5000,0,0,Yes,Reguler,2020,2022
STIC-COCBBPF50-R2PP,Sticker Cover CBB Passion 50 ROLL R2 W,,,3080,142,0,0,0,0,Yes,Reguler,2020,< 2019
STIC-COCBBR50-R2PP,Sticker Cover CBB Rose 50 ROLL R2 W,,,12044,478.800648,existing,5000,0,0,No,Reguler,2023,2023
STIC-COCBBST15-R2PP,Sticker Cover CBB Strawberry 150 ROLL R2 W,,,15000,420,inactive,5000,0,0,Yes,Reguler,2020,< 2019
STIC-COVCBBMP15-R1PP,Sticker Sticker Cover CBB Milk 150 ROLL W Wardah,,,139,900,inactive,,0,0,Yes,Reguler,< 2019,2022
STIC-COVCBBMP50-R1PP,Sticker Sticker Cover CBB Milk 50 ROLL W Wardah,,,2495000,181.4135267,existing,5000,0,0,No,Reguler,2022,2023
STIC-COVCBBOL15-R1PP,Sticker Sticker Cover CBB Olive 150 ROLL W Wardah,,,24700,154.2086265,inactive,,0,0,Yes,Reguler,< 2019,2022
STIC-COVCBBOL50-R1PP,Sticker Sticker Cover CBB Olive 50 ROLL W Wardah,,,7605,1101.426996,existing,5000,0,0,No,Reguler,2023,2023
STIC-COVCBBPF50-R1PP,Sticker Sticker Cover CBB Passion 50 ROLL W Wardah,,,15680,936.2794117,existing,5000,10000,0,No,Reguler,2023,2023
STIC-COVCBBS10-PPW6,Sticker Cover Creamy Body Butter Strawberry 100 Wardah,,,5000,0,0,,0,0,Yes,Reguler,< 2019,< 2019
STIC-COVCBBST15-R1PP,Sticker Sticker Cover CBB Strawberry 150 ROLL W Wardah,,,220,165.5615869,inactive,,0,0,Yes,Reguler,< 2019,2021
STIC-COVCBBST50-R1PP,Sticker Sticker Cover CBB Strawberry 50 ROLL W Wardah,,,16725,284,existing,5000,0,0,No,Reguler,< 2019,2023
STIC-COVSBSOL15-R1PP,Sticker Sticker Cover SBS Olive 150 ROLL W Wardah,,,16318,1786.906202,existing,5000,0,0,No,Reguler,2023,2023
STIC-COVSBSOL24-R1PP,Sticker Sticker Cover SBS Olive 240 ROLL W Wardah,,,11677,1357.86915,existing,5000,0,0,No,Reguler,2023,2023
STIC-COVSBSPF15-R1PP,Sticker Sticker Cover SBS Passion 150 ROLL W Wardah,,,11486,1055.738378,existing,5000,0,0,Yes,Reguler,2023,2023
STIC-CSBSSR2-W150,Sticker Cover SBS Strawberry 150 R2 W,,,9980,712.6276804,existing,5000,0,0,Yes,Reguler,2023,2023
STIC-CSPR22-W,Sticker Crystallure Skincare Package Ramadhan 2022 W,,,70,1365,inactive,2000,0,0,Yes,Reguler,2022,2022
STIC-DIYRP23-W,Sticker DIY Ramadhan Package 2023 W,,,1685,1260,new product,35000,0,0,Yes,NPD,2023,2023
STIC-EAHMG100RV-W,Sticker Eyecatch Hydramild Multifunction Gel 100 RV W,,,156465,70,new product,100000,0,0,No,Reguler,2023,2023
STIC-EBSFW50-E,Sticker Eyecatch Bright Stuff Face Wash 50 ml E,,,19900,41.13543625,existing,,0,0,Yes,Reguler,2021,2021
STIC-ECAHFW100-W,Sticker Eyecatch AHFW 100 W,,,16260,220,existing,85000,0,0,Yes,Reguler,2020,2021
STIC-ECAHMGR1-WPSB,Sticker Eyecatch AHMG 100 R1 W,,,5307,121.5917263,existing,50000,0,0,Yes,Reguler,2022,2023
STIC-ECCABE30-W,Sticker Eyecatch Crystallure ABE 30 ml Wardah,,,20854,2240,existing,10000,0,0,No,Reguler,2023,2023
STIC-ECCSBDC30-W,Sticker Eyecatch CS BDC 30 W,,,276903,957.2077179,existing,40000,0,0,Yes,Reguler,2021,2021
STIC-ECCSROS30-W,Sticker Eyecatch Crystallure SROS 30 ml Wardah,,,19437,1107.530576,existing,10000,0,0,No,Reguler,2023,2023
STIC-ECGEFS100R0-K,Sticker Eyecatch GE Face Scrub 100 K,,,7532,135,existing,50000,0,0,Yes,Reguler,2021,2022
STIC-ECLIR0-W,Sticker Eyecatch Colorfit Lip Ink W,,,53921,235.8152681,existing,30000,0,0,No,Reguler,2023,2023
STIC-ECLVMR0-E,Sticker Eyecatch Cosmic Lash Volume Mascara E,,,102434,547.201016,new product,20000,0,0,Yes,NPD,2023,2023
STIC-ECOACFW100R0-K,Sticker Eyecatch OAC Face Wash 100 K,,,2074,135,existing,50000,0,0,Yes,Reguler,2022,2022
STIC-ECPBCFBOCRV100-W,Sticker Eyecatch PBCF Oil Control 100 W,,,700,94,new product,100000,0,0,Yes,Reguler,2022,2022
STIC-ECPBCFBSGRV100-W,Sticker Eyecatch PBCF Smooth Glow 100 W,,,4730,188,new product,100000,0,0,Yes,Reguler,2022,2022
STIC-ECPBCFBSGRV50-W,Sticker Eyecatch PBCF Smooth Glow 50 W,,,21223,80,new product,100000,0,0,Yes,Reguler,2022,2022
STIC-ECSEBFW100R0-K,Sticker Eyecatch SEB Face Wash 100 K,,,20123,135,existing,50000,0,0,Yes,Reguler,2022,2022
STIC-ECSW-WPSB,Sticker Eyecatch Shampoo W,,,17150,31.08154245,inactive,300000,0,0,Yes,Reguler,2022,2022
STIC-ECTAOCDFW100R0-K,Sticker Eyecatch TAOCD Face Wash 100 R0 K,,,100,0,new product,30000,0,0,Yes,Reguler,2022,2022
STIC-EDTHF2R1-K,Sticker Samping EDT 1.7 HF R1 K,,,152,126,inactive,2500,0,0,Yes,Reguler,2020,2020
