KODE ITEM,STATUS 2
BOTO-PLPRR0-MO,inactive
BOTO-PLTCR0-MO,existing
BOTO-PMPASFS30-E,new product
BOTO-PMSMR0-MO,PS
BOTO-PNPSS40R0-E,existing
BOTO-PPBM10R0-E,existing
BOTO-PPLLCBR0-MO,existing
BOTO-PPLLR0-MO,existing
BOTO-PS35WF-P1WG,existing
BOTO-PSAPD60-W,new product
BOTO-PSBOSR0-B,new product
BOTO-PSBWGT550-BD,initial
BOTO-PSBWSS550-BD,initial
BOTO-PSBWYZ550-BD,initial
BOTO-PSCRMSR0-W,new product
BOTO-PSEARTH2501-W,new product
BOTO-PSEARTH2502-W,new product
BOTO-PSEARTH4001-W,0
BOTO-PSEARTH4002-W,0
BOTO-PSEBALSR0-W,0
BOTO-PSELCR0-W,existing
BOTO-PSELMFR0-W,0
BOTO-PSEMLCRR0-W,new product
BOTO-PSEXLWMR0-W,new product
BOTO-PSF2R0-MO,inactive
BOTO-PSF2R1-MO,inactive
BOTO-PSFCLVMR0-E,new product
BOTO-PSFCOTR0-B,new product
BOTO-PSFEBALSR0-W,new product
BOTO-PSFEMLCRR0-W,new product
BOTO-PSFEMLSR0-W,existing
BOTO-PSFF2R0-MO,inactive
BOTO-PSFHR0-IP,0
BOTO-PSFHV2R0-IP,new product
BOTO-PSFHV3R0-IP,0
BOTO-PSFHV4R0-IP,0
BOTO-PSFIPSSCBR0-MO,new product
BOTO-PSFIPSSHBR0-MO,new product
BOTO-PSFIPSSR0-MO,new product
BOTO-PSFIPSSRBR0-MO,new product
BOTO-PSFJKLTS01R0-OMG,PS
BOTO-PSFJKLTS03R0-OMG,new product
BOTO-PSFJKLTS05R0-OMG,0
BOTO-PSFMKLCNER0-OMG,new product
BOTO-PSFMSE100-T,initial
BOTO-PSFNGS07R0-E,initial
BOTO-PSFNPSS40R0-E,0
