"Korporat Code","Material Type","General Subcategory","Component FG/Korporat Code","Component FG/Material Type","Component FG/General Subcategory","Component REFILL/Korporat Code"
"BOTP-CVML13KR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-CVML14KR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-MLMPR0-IP","Intermediate","Intermediate Pack","","","",""
"BOTO-RYTERV100-W","Packaging Material","Regular","","","",""
"BOTO-RYTE50R0-W","Packaging Material","Regular","","","",""
"BOTO-RHBW100PH-K","Packaging Material","Regular","","","",""
"BOTO-RHBW-K","Packaging Material","Regular","","","",""
"BOTO-RAFBW200R2-K","Packaging Material","Regular","","","",""
"BOTO-RYTER1-WPET","Packaging Material","Regular","","","",""
"BOTO-RYTE50R0-WPET","Packaging Material","Regular","","","",""
"BOTO-RYTER0-WPET","Packaging Material","Regular","","","",""
"BOTO-RCABER0-W","Packaging Material","Regular","","","",""
"BOTO-ADS170LF-WHDPE","Packaging Material","Regular","","","",""
"BOTO-ADS170-WHDPE","Packaging Material","Regular","","","",""
"BOTO-ADS170IIR0-WHDP","Packaging Material","Regular","","","",""
"BOTO-ADS170R2-WHDPE","Packaging Material","Regular","","","",""
"BOTO-ADS170R3-WHDPE","Packaging Material","Regular","","","",""
"BOTO-SO10R0-B","Packaging Material","Regular","","","",""
"BOTO-TIMLCFPR0-MO","Packaging Material","Regular","","","",""
"BOTO-TIMLCMVR0-MO","Packaging Material","Regular","","","",""
"BOTO-TVEMR1-WAL","Packaging Material","Regular","","","",""
"BOTO-TVEMR2-WAL","Packaging Material","Regular","","","",""
"BOTO-WLSKIMR0-E","Packaging Material","Regular","","","",""
"BOTO-WLSR0-E","Packaging Material","Regular","","","",""
"BOTO-WSPTE50R0-WPET","Packaging Material","Regular","","","",""
"BOTO-WSPTER0-WPET","Packaging Material","Regular","","","",""
"BOTO-PCMR1-E","Packaging Material","Regular","","","",""
"BOTO-PIMLMPR0-W","Packaging Material","Regular","","","",""
"BOTO-PIMLCR1-MO","Packaging Material","Regular","","","",""
"BOTO-PTCLCR0-MO","Packaging Material","Regular","","","",""
"BOTO-PSHSLWR0-MO","Packaging Material","Regular","","","",""
"BOTO-HSLWR0-MO","Packaging Material","Regular","","","",""
"BOTO-HSLWR1-MO","Packaging Material","Regular","","","",""
"BOTO-WCMSR0-ELM","Packaging Material","Regular","","","",""
"BOTO-WEIMLR0-IP","Packaging Material","Regular","","","",""
"BOTO-WGLHTR0-MO","Packaging Material","Regular","","","",""
"BOTO-WGSRV01R0-E","Packaging Material","Regular","","","",""
"BOTO-WGSRV02R0-E","Packaging Material","Regular","","","",""
"BOTO-WGSRV03R0-E","Packaging Material","Regular","","","",""
"BOTO-WGSRV04R0-E","Packaging Material","Regular","","","",""
"BOTO-WGSRV05R0-E","Packaging Material","Regular","","","",""
"BOTO-WGSRV06R0-E","Packaging Material","Regular","","","",""
"BOTO-WGSRV07R0-E","Packaging Material","Regular","","","",""
"BOTO-WGSRV08R0-E","Packaging Material","Regular","","","",""
"BOTO-WGSRV09R0-E","Packaging Material","Regular","","","",""
"BOTO-WGSRV10R0-E","Packaging Material","Regular","","","",""
"BOTO-WHGFHLR0-IP","Packaging Material","Regular","","","",""
"BOTP-WIEIM09R0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-WIEIM10R0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-WIEIM11R0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-WIEIM12R0-W","Intermediate","Intermediate Pack","","","",""
"BOTO-WILSLSR0-W","Packaging Material","Regular","","","",""
"BOTO-WJKLTSR1-OMG","Packaging Material","Regular","","","",""
"BOTO-WLLC01RR0-W","Packaging Material","Regular","","","",""
"BOTO-WLLC02RR0-W","Packaging Material","Regular","","","",""
"BOTO-WLLC03RR0-W","Packaging Material","Regular","","","",""
"BOTO-WMMSR0-ELM","Packaging Material","Regular","","","",""
"BOTO-WPM01R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM02R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM03R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM04R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM05R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM06R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM07R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM08R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM09R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM10R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM11R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM12R0-E","Packaging Material","Regular","","","",""
"BOTO-WPM13R0-E","Packaging Material","Regular","","","",""
"BOTT-CAFPR1-WPS","Packaging Material","Regular","","","",""
"BOTT-CLUMFPR1-WPS","Packaging Material","Regular","","","",""
"BOX-FGFP-MO","Packaging Material","Regular","","","",""
"BOX-IPXSA-IP","Packaging Material","Regular","","","",""
"BOX-CPMM-E","Packaging Material","Regular","","","",""
"BOX-CPRT-E","Packaging Material","Regular","","","",""
"BOX-CPSS-E","Packaging Material","Regular","","","",""
"BOX-CDPR22-W","Packaging Material","Regular","","","",""
"BOX-EPR22-E","Packaging Material","Regular","","","",""
"BOX-EMLCPR0-WAC","Packaging Material","Regular","","","",""
"BOX-GOSFP-MO","Packaging Material","Regular","","","",""
"BOX-HSB22-L","Packaging Material","Regular","","","",""
"BOX-INSTAR-W","Packaging Material","Regular","","","",""
"BOX-ISUE-IP","Packaging Material","Regular","","","",""
"BOX-ISULL-IP","Packaging Material","Regular","","","",""
"BOX-MORBS22-MO","Packaging Material","Regular","","","",""
"BOX-MORSS22-MO","Packaging Material","Regular","","","",""
"BOX-PQBK-EILD","Packaging Material","Regular","","","",""
"BOX-RBIGSA-W","Packaging Material","Regular","","","",""
"BOX-RBIGSB-W","Packaging Material","Regular","","","",""
"BOX-RP23-W","Packaging Material","Regular","","","",""
"BOX-RPC23-W","Packaging Material","Regular","","","",""
"BOX-RPE23-W","Packaging Material","Regular","","","",""
"BOX-RPL23-W","Packaging Material","Regular","","","",""
"BOX-RSMALLSA-W","Packaging Material","Regular","","","",""
"BOX-RSMALLSB-W","Packaging Material","Regular","","","",""
"BOX-RDLFBPMO-GB4LD","Packaging Material","Regular","","","",""
"BOX-SBASBB-MO","Packaging Material","Regular","","","",""
"BOX-SFSSB-MO","Packaging Material","Regular","","","",""
"BOX-SGSSB-MO","Packaging Material","Regular","","","",""
"BOX-SIGSBB-MO","Packaging Material","Regular","","","",""
"BOX-SPHBG-MOFD","Packaging Material","Regular","","","",""
"BOX-SPPRO-MOFD","Packaging Material","Regular","","","",""
"BOX-WDR22-W","Packaging Material","Regular","","","",""
"BOX-WSR22-W","Packaging Material","Regular","","","",""
"BOX-BWSBP-WLD","Packaging Material","Regular","","","",""
"BOX-SWSBP-WLD","Packaging Material","Regular","","","",""
"LEAF-WSBP-WLD","Packaging Material","Regular","","","",""
"BOX-TBBP-MOWP","Packaging Material","Regular","","","",""
"BOX-TITGP-MOWP","Packaging Material","Regular","","","",""
"BRSB-850074-X","Raw Material","","","","",""
