Kode Item Baru,Nama Item,MPQ Olah,MPQ Kemas,MPQ Supply,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,Sum,MPQ Kemas,MPQ Supply
B-PT05-MO35G,MAKE OVER Silky Smooth Translucent Powder 05 Snow 35 g (Pc(s)),60,1598,1618,0,1598,0,1598,0,1598,0,0,0,1598,0,1598,0,1598,0,0,1598,0,1598,0,1598,0,1598,0,1598,0,0,1598,0,1598,0,1598,0,1598,0,1598,0,0,1598,0,1598,0,1598,0,1598,0,1598,0,0,1598,0,1598,0,1598,0,1598,0,1598,0,0,1598,0,1598,0,0,0,0,,,44744,1598,1618
B-PT06-MO35G,MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g,100,2754,2774,2754,0,2754,0,2754,0,0,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,2754,0,2754,0,0,2754,,,132192,2754,2774
B-PT07-MO35G,MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g,60,1700,1720,1700,1700,0,0,1700,1700,0,0,1700,1700,1700,1700,1700,1700,1700,1700,1700,0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0,1700,1700,0,1700,0,,,96900,1700,1720
B-R3L01LB-W,Wardah Lightening Matte Powder 01 Light Beige 20 g,100,"4,872","4,892","9,744","9,744","9,744","4,872","4,872","4,872",0,0,"9,744","4,872","9,744","4,872","9,744","4,872","9,744","4,872","9,744","4,872","4,872","6,982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"128,782","4,872","4,892"
B-R3L02B-W,Wardah Lightening Matte Powder 02 Beige 20 g,100,"5,124","5,144","15,372",0,"10,248",0,"10,248",0,"10,248",0,"10,248","5,124","10,248","5,124","5,124","10,248","5,124","10,248","5,124","10,248","5,124","7,306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"135,406","5,124","5,144"
B-R3L03I-W,Wardah Lightening Matte Powder 03 Ivory 20 g,100,4900,4920,0,4900,4900,4900,4900,4900,4900,0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,2368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,85668,4900,4920
B-R3L04N-W,Wardah Lightening Matte Powder 04 Natural 20 g,100,4984,5004,9968,0,9968,0,9968,0,9968,0,4984,4984,4984,9968,4984,4984,4984,4984,9968,4984,4984,4984,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,110526,4984,5004
B-R4L01LB-W,Wardah Lightening Matte Powder 01 Neutral Fair (12N) 10 g,300,27678,27698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13944,0,27888,13944,0,0,0,0,0,27678,0,0,27678,0,0,0,27678,0,27678,0,0,27678,0,0,0,27678,0,0,27678,0,0,27678,0,27678,0,0,27678,0,0,27678,27678,0,0,0,0,27678,0,27678,0,0,27678,0,,,470946,27678,27698
B-R4L02B-W,Wardah Lightening Matte Powder 02 Neutral Beige (32N) 10 g,300,27678,27698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13944,0,27888,13944,0,0,0,0,0,0,27678,0,0,27678,0,0,27678,0,0,27678,0,27678,0,0,0,27678,0,0,27678,0,0,27678,0,0,27678,0,27678,0,0,27678,27678,0,0,0,0,27678,0,0,27678,0,27678,0,,,470946,27678,27698
B-R4L03I-W,Wardah Lightening Matte Powder 03 Warm Ivory (23W) 10 g,300,27678,27698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13944,0,13944,13944,0,0,0,0,0,0,27678,0,0,0,0,0,27678,0,0,0,27678,0,0,0,0,0,0,27678,0,0,0,27678,0,0,0,27678,0,0,0,27678,0,0,0,0,0,0,27678,0,0,0,27678,,,290934,27678,27698
