Kode Unik,Factory,Kode Item,Kode Bulk,MPQ Olah,MPQ Kemas,% Fase,Rumus Bulk,MPQ Supply,W21/2023,W22/2023,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,Kode Formula
CON-CPADC02-W/CON-CPADC02-BULK,Semisolid factory,CON-CPADC02-W,CON-CPADC02-BULK,4.5,"1,556",1,CON-CPADC02-BULK/1,1556,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CON-CPADC02-BULK/FF.RND.W726.02
CON-IP01-W/CON-IP01-BULK,Semisolid factory,CON-IP01-W,CON-IP01-BULK,15,"1,596",1,CON-IP01-BULK/1,1596,0,0,3696,0,3696,0,0,0,0,0,0,0,0,1584,0,0,0,1584,0,0,0,1584,0,0,1584,0,0,0,0,1584,0,0,1584,0,0,0,1584,0,0,1584,0,0,0,1584,0,0,0,1584,0,0,1584,0,0,1584,0,0,0,1584,0,0,0,1584,0,0,1584,0,0,0,CON-IP01-BULK/FF.RND.W1040.01
CON-IP02-W/CON-IP02-BULK,Semisolid factory,CON-IP02-W,CON-IP02-BULK,15,"1,596",1,CON-IP02-BULK/1,1596,0,0,3696,0,3696,0,0,0,0,0,0,1584,0,0,1584,0,0,0,1584,0,0,0,1584,0,0,1584,0,0,0,1584,0,0,1584,0,0,1584,0,0,0,1584,0,0,1584,0,0,1584,0,0,1584,0,0,1584,0,0,1584,0,0,0,1584,0,0,1584,0,0,1584,0,0,0,CON-IP02-BULK/FF.RND.W1041.01
CON-IP03-W/CON-IP03-BULK,Semisolid factory,CON-IP03-W,CON-IP03-BULK,15,"1,596",1,CON-IP03-BULK/1,1596,0,0,0,3696,0,3696,0,0,0,0,0,1584,0,0,1584,0,0,1584,0,0,0,1584,0,0,1584,0,0,0,1584,0,0,1584,0,0,0,1584,0,0,1584,0,0,1584,0,0,1584,0,0,1584,0,0,1584,0,0,1584,0,0,1584,0,0,0,1584,0,0,1584,0,0,1584,0,CON-IP03-BULK/FF.RND.W1042.01
CON-IP05-W/CON-IP05-BULK,Semisolid factory,CON-IP05-W,CON-IP05-BULK,15,"1,596",1,CON-IP05-BULK/1,1596,0,0,0,2244,0,2244,0,0,0,0,0,1584,0,0,1584,0,0,0,0,0,1584,0,0,0,0,1584,0,0,0,0,0,1584,0,0,0,0,1584,0,0,0,1584,0,0,0,0,1584,0,0,0,0,1584,0,0,0,1584,0,0,0,0,0,1584,0,0,0,1584,0,0,0,CON-IP05-BULK/FF.RND.W1044.01
CON-LBBL01-W/CON-LBBL01-BULK,Liquid factory,CON-LBBL01-W,CON-LBBL01-BULK,300,"38,708",1,CON-LBBL01-BULK/1,38708,0,0,36864,0,0,0,0,0,36864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CON-LBBL01-BULK/FF.RND.W654.01
CON-LBBL02-W/CON-LBBL02-BULK,Liquid factory,CON-LBBL02-W,CON-LBBL02-BULK,300,"37,337",1,CON-LBBL02-BULK/1,37337,37183,0,37183,0,0,0,37183,0,0,0,0,14595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CON-LBBL02-BULK/FF.RND.W655.02
CON-LBBL03-W/CON-LBBL03-BULK,Liquid factory,CON-LBBL03-W,CON-LBBL03-BULK,240,"28,872",1,CON-LBBL03-BULK/1,28872,200,0,0,0,0,0,0,0,0,28740,0,0,0,0,28740,0,0,0,0,0,28740,0,0,0,0,28740,0,0,0,0,0,0,28740,0,0,0,0,0,28740,0,0,0,0,28740,0,0,0,0,0,28740,0,0,0,0,28740,0,0,0,0,0,0,28740,0,0,0,0,0,28740,CON-LBBL03-BULK/FF.RND.W1089.01
CON-PTCL01-MO/CON-PTCL01-BULK,Liquid factory,CON-PTCL01-MO,CON-PTCL01-BULK,80,"8,158",1,CON-PTCL01-BULK/1,8158,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,0,0,CON-PTCL01-BULK/FF.RND.M294.03
CON-PTCL02-MO/CON-PTCL02-BULK,Liquid factory,CON-PTCL02-MO,CON-PTCL02-BULK,80,"8,158",1,CON-PTCL02-BULK/1,8158,10358,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,7920,0,0,0,0,0,0,7920,0,0,0,0,0,0,7920,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,7920,0,0,0,0,0,0,7920,0,0,0,0,0,0,CON-PTCL02-BULK/FF.RND.M295.03
