Kode Unik,Korporat Code Bulk,Korporat Code Material,Material Type,Quantity
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,SQUA-AMYR-X,Raw Material,0.01
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,GLYC--ECOS-K,Raw Material,0.05
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,STA--C18-K,Raw Material,0.03
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,PARF-LVDLVLY-X,Raw Material,0.02
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,ARLA-165--K,Raw Material,0.04
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,OIL-ORJVA-X,Raw Material,0.03
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,PENG-PHC-X,Raw Material,0.01
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,TALC-OSBRTPD-X,Raw Material,0.698072
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,CORN---K,Raw Material,0.2
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,TITA-C-STCR5-K,Raw Material,0.04
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,SERI-GH202-X,Raw Material,0.02
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,ZINC-STW-X,Raw Material,0.01
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,PEN-PRSVPE-X,Raw Material,0.008
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,SILI-2005-DC-K,Raw Material,0.005
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,PEN-SENSC50-X,Raw Material,0.004
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,ACTM-CTLA-X,Raw Material,0.0001
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,PARF-AMSKLG-X,Raw Material,0.0001
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,WARN-COGO--K,Raw Material,0.009544
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,WARN-CLRG-X,Raw Material,0.002996
B-CLCLPC-BULK/FS.RND.W0295.00,B-CLCLPC-BULK,WARN-ABIO-X,Raw Material,0.002188
TC-R3LEC01-BULK/9,TC-R3LEC01-BULK,WARN-RED3ASTDMS-BULK,Intermediate,0.011484
TC-R3LEC01-BULK/9,TC-R3LEC01-BULK,PARF-AMSKLG-X,Raw Material,0.000412
TC-R3LEC01-BULK/9,TC-R3LEC01-BULK,WARN-YLW3AS-X,Raw Material,0.035553
TC-R3LEC01-BULK/9,TC-R3LEC01-BULK,PEN-SENSC50-X,Raw Material,0.004124
TC-R3LEC01-BULK/9,TC-R3LEC01-BULK,POWD-TDMS-,Raw Material,0.187976
TC-R3LEC01-BULK/9,TC-R3LEC01-BULK,PEN-PRSVPE-X,Raw Material,0.008247
TC-R3LEC01-BULK/9,TC-R3LEC01-BULK,WARN-UNPBRWNL88-X,Raw Material,0.005429
TC-R3LEC01-BULK/9,TC-R3LEC01-BULK,TIT-CR50HD-X,Raw Material,0.185567
