Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,,Tidak ada BOM
B-DMCP02-BULK/10,B-DMCP02-BULK,WARN-YLW3AS-X,Raw Material,0.000744,kg,,L-IPEI17-W
B-DMCP02-BULK/10,B-DMCP02-BULK,PWD-KALNPD-X,Raw Material,0.03,kg,,L-IPEI18-W
B-DMCP02-BULK/10,B-DMCP02-BULK,WARN-RED3ASTDMS-BULK,Intermediate,0.005847,kg,,L-IPEI19-W
B-DMCP02-BULK/10,B-DMCP02-BULK,VITA-DL E-MS,Raw Material,0.0001,kg,,L-IPEI20-W
B-DMCP02-BULK/10,B-DMCP02-BULK,CORN---K,Raw Material,0.03,kg,,L-MLCP-OMG
B-DMCP02-BULK/10,B-DMCP02-BULK,SFT-CERA847-X,Raw Material,0.05,kg,,L-MLCQ-OMG
B-DMCP02-EM/4,B-DMCP02-EM,B-DMCP02-BULK,Semi Finished Goods,0.011,kg,,L-MLCR-OMG
B-DMCP02-EM/4,B-DMCP02-EM,CONT-DMCPR1-E,Packaging Material,1,Pc(s),,L-NFSCLAD04-W
B-DMCP02-EM/4,B-DMCP02-EM,"GODE-TWC5,4B-SM-P",Packaging Material,1,Pc(s),,L-NFSCLAD09-W
B-DMCP02-EM/4,B-DMCP02-EM,PLAS-DMCTWCRP-P85,Packaging Material,1,Pc(s),,L-NFSCLAD13-W
B-DMCP02-EM/4,B-DMCP02-EM,PUFF-DMCPR0-E,Packaging Material,1,Pc(s),,L-NFSGS01-EM
B-DMCP02-EM/4,B-DMCP02-EM,STIC-BDMCP02R0-E,Packaging Material,1,Pc(s),,L-NFSGS07-EM
B-DMCP02-EM/4,B-DMCP02-EM,DUS-DMCPR1-E,Packaging Material,1,Pc(s),,L-PMLP-MO
B-DMCP02-EM/4,B-DMCP02-EM,STIC-VDMCP02R0-E,Packaging Material,1,Pc(s),,L-PS01-MO
B-DMCP02-EM/4,B-DMCP02-EM,KB-EAR0-KMM125,Packaging Material,0.02778,Pc(s),,L-PS02-MO
B-DMCP02-RP-EM4GR/1,B-DMCP02-RP-EM4GR,B-DMCP02-BULK,Semi Finished Goods,0.004,kg,,L-PS03-MO
B-DMCP02-RP-EM4GR/1,B-DMCP02-RP-EM4GR,GODE-PESBOR2-MOAL,Packaging Material,1,Pc(s),,L-PS04-MO
B-DMCP03-EM/4,B-DMCP03-EM,B-DMCP03-BULK,Semi Finished Goods,0.011,kg,,L-PS05-MO
B-DMCP03-EM/4,B-DMCP03-EM,"GODE-TWC5,4B-SM-P",Packaging Material,1,Pc(s),,L-PS06-MO
B-DMCP03-EM/4,B-DMCP03-EM,CONT-DMCPR1-E,Packaging Material,1,Pc(s),,L-PS07-MO
B-DMCP03-EM/4,B-DMCP03-EM,PLAS-DMCTWCRP-P85,Packaging Material,1,Pc(s),,L-PS08-MO
B-DMCP03-EM/4,B-DMCP03-EM,PUFF-DMCPR0-E,Packaging Material,1,Pc(s),,L-R2CLCLS1-W
B-DMCP03-EM/4,B-DMCP03-EM,STIC-BDMCP03R0-E,Packaging Material,1,Pc(s),,L-R2CLCLS2-W
B-DMCP03-EM/4,B-DMCP03-EM,DUS-DMCPR1-E,Packaging Material,1,Pc(s),,L-R2CLCLS3-W
B-DMCP03-EM/4,B-DMCP03-EM,STIC-VDMCP03R0-E,Packaging Material,1,Pc(s),,L-R2CLCLS4-W
B-DMCP03-EM/4,B-DMCP03-EM,KB-EAR0-KMM125,Packaging Material,0.02778,Pc(s),,L-R2CLCLS5-W
B-DMCP04-BULK/6,B-DMCP04-BULK,TITA--3328EW-K,Raw Material,0.02,kg,,L-R2CLCLS6-W
B-DMCP04-BULK/6,B-DMCP04-BULK,SFT-CERA847-X,Raw Material,0.05,kg,,L-R2CLCLS7-W
B-DMCP04-BULK/6,B-DMCP04-BULK,SERI-S-D-K,Raw Material,0.3,kg,,L-R2CLCLS8-W
