"id","product_tmpl_id/default_code","location_id/display_name","lot_id/name","quantity","product_uom_id/name"
"__export__.stock_quant_4161_0e6f84a1","CAPA-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF18159","18.0","Pc(s)"
"__export__.stock_quant_4166_c23c864c","CAPA-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF23177","15.0","Pc(s)"
"__export__.stock_quant_4172_8c6cd0f3","BOTO-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF18158","18.0","Pc(s)"
"__export__.stock_quant_4177_77f68c71","BOTO-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF23176","15.0","Pc(s)"
"__export__.stock_quant_4182_03cc4996","PURO-IDD-X","JTK 4/Stock/RM","GBMJTK6/IE07155","0.300000000000182","g"
"__export__.stock_quant_4184_0e9abb1e","BENT-BGISDV-X","JTK 4/Stock/RM","GBMJTK6/IE05003","0.150000000000091","g"
"__export__.stock_quant_4186_5db71b03","SILI-BEL803-X","JTK 4/Stock/RM","GBMJTK6/ID06013","18.9000000000001","g"
"__export__.stock_quant_4187_c1eec815","SILI-DC-PSFCS-X","JTK 4/Stock/RM","GBMJTK6/ID27002","137.0","g"
"__export__.stock_quant_4188_b0dda03d","VITA-DL E-MS","JTK 4/Stock/RM","GBMJTK6/ID22092","1143.0","g"
"__export__.stock_quant_4191_5996b447","PEN-PRSVPE-X","JTK 4/Stock/RM","GBMJTK6/ID26098","444.28","g"
"__export__.stock_quant_4192_d9509b40","PEN-SENSC50-X","JTK 4/Stock/RM","GBMJTK6/IC24025","60.0","g"
"__export__.stock_quant_4196_6cec96eb","STIC-VMKLC07R1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF23191","8.0","pc(s)"
"__export__.stock_quant_4203_e7a3f377","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF21162","26.0","pc(s)"
"__export__.stock_quant_4204_7e145850","DRYF-PC-X","JTK 4/Stock/RM","GBMJTK6/IE24052","27.0","g"
"__export__.stock_quant_4209_6920dbad","STIC-BMKLC06R0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF23188","13.0","pc(s)"
"__export__.stock_quant_4219_54caccd9","STIC-BMKLC06R0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF21167","8.0","pc(s)"
"__export__.stock_quant_4223_6ec27513","IBOX-RRPMKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF22169","8.0","pc(s)"
"__export__.stock_quant_4225_b64a8dc9","STIC-VMKLC07R1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF21164","13.0","pc(s)"
"__export__.stock_quant_4226_a7f50795","BOTO-MKLCR0-OMG","JTK 4/Stock/PKG/JTK 6/Gedung B/AB-10C1","GBMJTK4/IF10126","'-10.0","pc(s)"
"__export__.stock_quant_4242_a0b45868","SILI-BEL803-X","JTK 4/Stock/RM","GBMJTK6/IE11026","0.0","g"
"__export__.stock_quant_4244_75f89680","BENT-BGISDV-X","JTK 4/Stock/RM","GBMJTK6/IE19004","144.0","g"
"__export__.stock_quant_4248_82f216ed","PURO-IDD-X","JTK 4/Stock/RM","GBMJTK6/ID06066","5193.50000000028","g"
"__export__.stock_quant_4249_825e9897","DRYF-PC-X","JTK 4/Stock/RM","GBMJTK6/ID19162","0.150000000000091","g"
"__export__.stock_quant_4251_119e0cf0","EMUL-EMILST-X","JTK 4/Stock/RM","GBMJTK6/ID06196","316.4","g"
"__export__.stock_quant_4287_8acf3f82","BENT-BGISDV-X","JTK 4/Stock/RM","GBMJTK6/ID19013","7811.8","g"
"__export__.stock_quant_4288_76a056db","SILS-034-X","JTK 4/Stock/RM","GBMJTK6/IB09102","41.45","g"
"__export__.stock_quant_4289_66d35f63","PURO-IDD-X","JTK 4/Stock/RM","GBMJTK6/IE06103","3100.5","g"
"__export__.stock_quant_4351_83e981ad","L-MLCB-BULK","JTK 4/Quarantine/PKG","FH21A","3127.0","g"
"__export__.stock_quant_4354_f82f95fb","L-MLCE-BULK","JTK 4/Quarantine/PKG","FH22A","1720.0","g"
"__export__.stock_quant_4387_3f0a6acf","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF15146","26.0","pc(s)"
"__export__.stock_quant_4403_384bc572","BOTO-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF25195","13.0","Pc(s)"
"__export__.stock_quant_4404_5c75430e","CAPA-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF25196","13.0","Pc(s)"
"__export__.stock_quant_4450_9e5cafac","BENT-BGISDV-X","JTK 4/Stock/RM","GBMJTK6/ID1913","'-2737.35","g"
"__export__.stock_quant_4489_68cbfb5e","L-MLCC-BULK","JTK 4/Quarantine/PKG","GH01A","3200.0","g"
"__export__.stock_quant_4518_4a83c02a","L-MLCD-BULK","JTK 4/Quarantine/PKG","GH01A","1920.0","g"
"__export__.stock_quant_4590_a272edad","STIC-VMKLC08R1-OMG","JTK 4/Stock/PKG/JTK 6/Gedung B/E1-4","GBMJTK4/IF23181","'-9.0","pc(s)"
"__export__.stock_quant_4591_97a805bb","STIC-VMKLC08R1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF23181","9.0","pc(s)"
"__export__.stock_quant_4594_076fd91c","STIC-VMKLC10R1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF23179","8.0","pc(s)"
"__export__.stock_quant_4605_52e1853f","EMU-PS-","JTK 4/Stock/RM","GBMJTK6/IE27104","3.0","g"
"__export__.stock_quant_4606_84f75563","PARF-DLPZLE-X","JTK 4/Stock/RM","GBMJTK6/IB25095","3.5","g"
"__export__.stock_quant_4660_05befd16","STIC-VMKLC09R1-OMG","JTK 4/Stock/PKG/JTK 6/Gedung B/E1-4","GBMJTK4/IF25200","700.0","pc(s)"
"__export__.stock_quant_4763_30246b2c","BOTO-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF28204","20.0","Pc(s)"
"__export__.stock_quant_4764_afc03a6b","CAPA-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF28205","20.0","Pc(s)"
"__export__.stock_quant_4775_d1b41ceb","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IG01217","25.0","pc(s)"
"__export__.stock_quant_4828_95061616","OIL-OJJBIII-X","JTK 4/Stock/RM","GBMJTK6/HL22111","0.5","g"
"__export__.stock_quant_4829_0525e933","SILI-BEL803-X","JTK 4/Stock/RM","GBMJTK6/IB08002","11.0","g"
"__export__.stock_quant_4830_0e4eb67e","SILI-DC-PSFCS-X","JTK 4/Stock/RM","GBMJTK6/IC09057","12.0","g"
"__export__.stock_quant_4833_f517d14d","PEN-SENSC50-X","JTK 4/Stock/RM","GBMJTK6/IC03039","0.999999999999993","g"
"__export__.stock_quant_4899_58bf7473","BOTO-MKLCR0-OMG","JTK 4/Stock/PKG/JTK 6/Gedung B/AB-10B1","GBMJTK4/IF10126","'-200.0","pc(s)"
"__export__.stock_quant_4997_210ebf17","BENT-BGISDV-X","JTK 4/Stock/RM","GBMJTK6/IC08005","24.0","g"
"__export__.stock_quant_4998_28e19a20","SILI-BELEG5-X","JTK 4/Stock/RM","GBMJTK6/HK09113","2.0","g"
