Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
BOTO-GMOF986FTD-P2W,8590,19095,61410,45114,28662,60070,34731,42001,51480,35028,51211,44210,44494,28662,60790,27351,
BOTO-GNBOR0-K,1280,1820,2220,3450,3500,3600,3500,2120,4140,3500,3500,4190,3450,4090,2610,2810,
BOTO-GNSMS30-T,0,0,0,0,0,0,0,0,0,0,0,0,0,4436,0,0,
BOTO-GPCS20R0-BL,0,0,0,2050,0,2050,0,0,2050,0,2050,0,2050,0,2050,0,
BOTO-GPGS20R1-OMG,71860,0,46840,93680,46840,93680,71860,71860,118700,118700,59350,131210,59350,118700,118700,25020,
BOTO-GPRTMR0-MO,3638,554,11344,2509,3154,3063,2509,9389,3154,1864,3154,2509,10588,2509,2509,1864,
BOTO-GROEDP100R0-K,0,0,5540,0,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,
BOTO-GS02ASR1-E,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-GS03CRR1-E,9607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-GS04PSR1-E,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-GS05SDR1-E,5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-GSOEDP100R0-K,2770,0,2770,2770,0,2770,2770,0,2770,2770,0,2770,2770,2770,0,2770,
BOTO-GWSMS30-T,0,4107,0,0,0,0,4107,0,0,0,0,4107,0,0,0,0,
BOTO-GYPCS20R0-BL,0,717,1434,1434,717,1434,717,717,1434,717,717,1434,1434,717,1434,0,
BOTO-HFTS1702R3-W,33640,134560,185020,151380,151380,168200,151380,117740,185020,134560,151380,185020,67280,0,0,0,
BOTO-HRIT100R1-WKIM,9996,0,0,0,19992,0,9996,0,9996,0,9996,0,19992,0,0,0,
BOTO-HSLWR1-MO,524,13100,30916,15720,13624,20436,15196,12576,19912,15196,16244,20436,15720,15720,20436,7860,
BOTO-HW100NP-DK12033,1099,1099,1099,1099,0,1099,1099,1099,1099,0,1099,1099,1099,1099,1099,0,
BOTO-HWR0-BD,0,0,7736,0,3870,3866,3870,3866,3870,0,3866,3870,3866,3870,3866,0,
BOTO-IBBM1R0-WPETG,704,1408,1408,704,1408,1408,1408,704,704,0,0,0,0,0,0,0,
BOTO-IBBM2R0-WPETG,704,704,704,704,1408,704,704,0,0,0,0,0,0,0,0,0,
BOTO-ICABER0-W,0,0,6103,0,6103,0,6103,0,6103,0,6103,0,6103,0,6103,0,
BOTO-IMLMPR0-W,2264,4528,9056,9056,20376,27168,15848,13584,24904,18112,15848,20376,20376,18112,13584,11320,
BOTO-L100EEMUR1-WHD,6306,12612,16816,14714,12612,16816,12612,10510,14714,14714,12612,16816,12612,12612,14714,6306,
BOTO-L100GR0-W,9811,39244,49055,39244,39244,39244,39244,29433,49055,39244,39244,39244,39244,39244,39244,29433,
BOTO-L200BLA-PP,0,0,0,0,580,0,0,580,0,0,0,580,0,0,580,0,
BOTO-L200NAT-PP,39497,47384,75871,58048,58336,74416,48848,47047,64160,66535,50170,72963,56371,62095,66231,37213,
BOTO-L450NAT-PP,16373,28643,41491,22882,29899,36735,28901,24708,35038,29161,29753,36718,27473,32785,36314,14832,
