Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
120,POWD-HR--K,Powder HR,,Powder HR (Kg),Kg,Eliminasi,,,1,1,,,,POWD-HR--K,Inactive,,,#N/A,,,
121,BALA--47-K,Powder HS,,Balance 47 (Kg),Kg,Eliminasi,,,1,1,,,,BALA--47-K,Inactive,,,#N/A,,,
122,CHOL---K,Powder CH,,Cholesterol Tech ex. Nippon Fine Chemical Japan,Kg,Belum Eksis,,"Narda Tita, PT",2,10,Ilham,,,CHOL---K,Inactive,,,#N/A,,,
123,SILD--SI5H52D-K,Powder Oil Control,PWD3-ACD,"SI-5 Sildex H-52 ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,20,Septi,Pull,,SILD--SI5H52D-K,Active,,,SILD--SI5H52D-K,,,
124,SERI-S-D-K,Powder SC,PWD3-ABG,"Sericite S-200 ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,Cek Mikro,"Kemiko Indonesia, PT",20,20,Septi,Pull,,SERI-S-D-K,Active,,,#N/A,,,
125,TEGI-D102-,Powder Shampo 1102,,Tegin (R) D 1102 Pellets ex. Degussa Germany,Kg,Belum Eksis,,"Evonik Indonesia, PT",2,25,Septi,,,TEGI-D102-,Inactive,,,#N/A,,,
126,SUNM--L-K,Powder Shower Gel,,SunMap L (Kg),Kg,Eliminasi,,,4,50,,,,SUNM--L-K,Inactive,,,#N/A,,,
127,UVAS-BZP3ET-UVS-K,Powder TS,SCR3-AAF,Uvascreen BZP 3 ex. Thornhill Advance Research Canada,Kg,Eliminasi,,"Nardevchem Kemindo, PT",12,25,Septi,,,UVAS-BZP3ET-UVS-K,Active,,,#N/A,,,
128,PROP---K,Propylene glycol,MST1-ADE,Adeka Propylene Glycol (Pharmaceutical Grade) ex. Adeka Corporation Japan,Kg,Eliminasi,,"Niagatama Cemerlang, PT",2,1000,,,,PROP---K,Active,,,#N/A,,,
129,PURA--PH90-K,Cairan AHA,MST1-AAH,"Purac PF 90 ex. Purac bioquimica sa, Spain",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,PURA--PH90-K,Active,,,#N/A,,,
130,SAC1-SSC-,Sacharin,,Sacharin Sodium sakarin (Kg),Kg,Belum Eksis,,,12,25,,,,SAC1-SSC-,Inactive,,,#N/A,,,
131,SALA-99--K,Salacos,EMO1-ABJ,"Salacos 99 ex. The Nisshin Oillio Group, Ltd., Taiwan",Kg,Eksis,,"Kemiko Indonesia, PT",12,5,Septi,Pull,,SALA-99--K,Active,,,#N/A,,,
132,SEPI-305-SF-K,Pengental Dingin,RHM1-AAF,Sepigel 305 37667S ex. Seppic France,Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,30,Ilham,,,SEPI-305-SF-K,Active,,,#N/A,,,
133,BPA---K,Serbuk PMMA - 500,,BPA-500 (Kg),Kg,Eliminasi,,,1,1,,,,BPA---K,Inactive,,,#N/A,,,
134,SERI-C-SI013S200-K,Sericite Coated,PWD3-ACI,Sericite Coated SI013 Sericite S-200 (Kg),Kg,Eksis,,"Kemiko Indonesia, PT",20,510,Septi,Pull,palet,SERI-C-SI013S200-K,Active,,,#N/A,,,
135,SILI-2-D-K,Silicon 2,,Silicon 2 Ex. Daito (Kg),Kg,Eliminasi,,,1,1,,,,SILI-2-D-K,Inactive,,,#N/A,,,
136,SILI-D2-TSFST-K,Silicon 200/100,SLC1-ABB,Element14* PDMS 100 ex. Momentive Performance Materials (Thailand) Limited,Kg,Eksis,,"Kemiko Indonesia, PT",16,200,Septi,Pull,,SILI-D2-TSFST-K,Active,,,#N/A,,,
137,SILI-2005-DC-K,Silicon DC 200/50,SLC1-AAH,"Xiameter(R) PMX-200 Silicone Fluid 50CS ex. Dow Corning Corporation, USA",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,200,Ilham,,,SILI-2005-DC-K,Active,,,#N/A,,,
138,SILI-345-DC-K,Silicon DC 345,EMO1-ABC,Xiameter(R) PMX-0345 Cyclosiloxane Blend ex. Dow Corning Corporation USA,Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,195,Ilham,,,SILI-345-DC-K,Active,,,#N/A,,,
139,SILI-9040-DC-K,Silikon 9040,,Silicon DC-9040 Ex.Dow Corning (kg),Kg,Eliminasi,,,1,1,,,,SILI-9040-DC-K,Inactive,,,#N/A,,,
140,PBS---K,Black mud,AAG2-AAB,Pelan Black Slit (Kg),Kg,Eliminasi,Cek Mikro,"Kemiko Indonesia, PT",16,1,Septi,Pull,,PBS---K,"Active, ada stok tapi tidak ada kebutuhan",,,#N/A,,,
141,SIMU-12--K,Simulsol 1293 (HS),,Simulsol 1293 (Kg),Kg,Eliminasi,,"Mega Setia Agung Kimia, PT",2,25,Ilham,,,SIMU-12--K,Inactive,,,#N/A,,,
142,SODI-M--K,Sodium Monofluoro Phosphate,,Phoskadent Na 211 ex. Rhodia UK,Kg,Belum Eksis,,"Suliana, Ibu",2,25,,,,SODI-M--K,Inactive,,,#N/A,,,
143,SPMI--E0326313-K,Spear Mint,,Spear Mint E 0326313 (Kg),Kg,Eliminasi,,,1,1,,,,SPMI--E0326313-K,Inactive,,,#N/A,,,
144,SQUA--NOF-K,Squalane,,Squalane ex. JPC Oils Limited UK,Kg,Eliminasi,,"Merpati Mahardika, PT",2,25,Ilham,,,SQUA--NOF-K,Inactive,,,#N/A,,,
145,STEA-A-EST05M,Stearic Acid,RHM3-ABF,Edenor ST 05M MY BD ex. Emery Oleochemicals Malaysia,Kg,Eksis,,"Green Innovation Sejati, PT
Cakraindo Mitra International, PT",12,25,,,,STEA-A-EST05M,Active,,,STEA-A-EST05M,,,
146,AQUA---K,Suspending Agent,RHM1-AAJ,"Carbopol Aqua SF-1 Polymer ex. Lubrizol, China",Kg,Eksis,,"Tritunggal Artha Makmur, PT",12,217.7,Ilham,,,AQUA---K,Active,,,#N/A,,,
147,TALK-C-STJADAITO-K,Talk Coated,PWD3-ACF,"SIO1-2 Talc JA-46R ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,600,Septi,Pull,palet,TALK-C-STJADAITO-K,Active,,,TALK-C-STJADAITO-K,,,
148,TALK--OS-K,Talk 1,,Talc Powder ex. Guangxi Yinfeng Talc Products China,Kg,Belum Eksis,,"Petrakemindo Pratama Mandiri, PT",2,25,,,,TALK--OS-K,Inactive,,,#N/A,,,
149,TALK--HNS-K,Talk II ( Haichen ),,Talk Haichen Non Steril (Kg),Kg,Eliminasi,,,1,1,,,,TALK--HNS-K,Inactive,,,#N/A,,,
150,TRI--DOW-K,TEA,SRF1-AAJ,Triethanolamine 99% ex. Optimal Chemicals Malaysia,Kg,Eksis,,"Graha Jaya Pratama Kinerja, PT",4,232,Ilham,,,TRI--DOW-K,Active,21.55172414,,#N/A,,,
151,TEXA---K,Texapon A,SRF2-AAB,Texapon N 70 ex. BASF Indonesia,Kg,Eksis,,"BASF Distribution Indonesia, PT",8,800,Septi,Pull,palet,TEXA---K,Active,,,#N/A,,,
152,RHOD--SLES-K,Texapon B,,Rhodapex ESB-70/MU,Kg,Belum Eksis,,"Sumber Indokemjaya, PT",2,160,Ilham,,,RHOD--SLES-K,Inactive,,,#N/A,,,
153,TGA--DAI99J-K,TGA Daicel,,"Thioglycolic Acid 99% ex. Daicel Chemical Industries, Ltd Japan",Kg,Eliminasi,,"Global Chemindo Megatrading, PT",2,260,Amel,,,TGA--DAI99J-K,Inactive,,,#N/A,,,
154,TGA--BB99G-K,TGA Bruno,,"Thioglycolic Acid 99%, cosmetic grade",Kg,Belum Eksis,,"Menjangan Sakti, PT",2,40,Septi,Pull,,TGA--BB99G-K,Inactive,,,#N/A,,,
155,TGA--ATO-K,TGA Ex Etofina,,TGA 99% Ex. Atofina (kg),Kg,Eliminasi,,,1,1,,,,TGA--ATO-K,Inactive,,,#N/A,,,
156,TITA--3328EW-K,Titanium,PWD3-ADB,"Titanium Dioxide USP BC 3328 ex. Brenntag Specialties, Inc. Canada",Kg,Habiskan stock,,"Bronson & Jacobs Indonesia, PT",20,25,Amel,,,TITA--3328EW-K,Active,,,#N/A,,,
157,TITA-C-STCR5-K,Titanium Coated,PWD3-ACG,"SIO1-2 TiO2 CR-50 ex. Daito Kagei Kogyo Co., Ltd Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,20,Septi,Pull,,TITA-C-STCR5-K,Active,,,TITA-C-STCR5-K,,,
158,MT-100-MT100-K,Titanium Micronize,SCR3-AAE,MT-100Z,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,10,Ilham,,,MT-100-MT100-K,Inactive,,,#N/A,,,
159,IRGA---K,Irgasan,,Triclosan USP24 ex. Shanghai Tengjia Fine Chemicals China,Kg,Belum Eksis,,"Menjangan Sakti, PT",2,25,Septi,Pull,,IRGA---K,Inactive,,,#N/A,,,
ma,TTO---K,TTO,,Tea Tree Oil Water soluble (Kg),Kg,Eliminasi,,,4,1,,,,TTO---K,Inactive,,,#N/A,,,
161,CRIL---K,Tween,SRF2-AAC,"Crillet 3-SS-(SG) ex. Croda Singapore Pte., Ltd.",Kg,Eksis,,"Croda Trading Indonesia, PT",20,200,Ilham,,,CRIL---K,Active,,,#N/A,,,
162,VASE--BP-DRUM,Vaselin,MST2-AAC,Vaselin White Type 215 USP ex. Bogdany Petrol Hungary,Kg,Eksis,,"Narda Tita, PT",12,175,Ilham,,,VASE--BP-DRUM,Active,,,#N/A,,,
163,VEEG---K,Pengental II,RHM3-ACG,"Veegum Ultra Granules 100 FDM ex. R.T. Vanderbilt Company, Inc. USA",Kg,Eksis,Cek Mikro,"Dwipar Loka Ayu, PT",16,20,Amel,,,VEEG---K,Active,,,#N/A,,,
164,VW-B--K,Victory White,,Victory White Ex. Bareco-USA (kg),Kg,Eliminasi,,,1,1,,,,VW-B--K,Inactive,,,#N/A,,,
165,STAY--DSMR-K,Vitamin C,ASB3-AAC,"Stay C-50 ex. DSM Nutritional Products, France",Kg,Eksis,,"Menjangan Sakti, PT",20,20,Septi,Pull,,STAY--DSMR-K,Active,,,STAY--DSMR-K,,,
166,VITA--TA-K,Vitamin E,ASB1-AAD,Vitamin-E-Acetate ex. BASF SE Germany,Kg,Eliminasi,,"Global Chemindo Megatrading, PT",2,5,Amel,,,VITA--TA-K,"Active, ada stok tapi tidak ada kebutuhan",,,#N/A,,,
167,ZINC-S--K,Zinc Stearate,,"Zinc Stearate ex. Faci Asia Pacific Pte., Ltd. Singapore",Kg,Belum Eksis,,"Wadah Makmur Kencana, PT",2,20,,,,ZINC-S--K,Inactive,,,#N/A,,,
168,ZINC-O--K,Zinc Oxide,,Zinc Oxide ex. Indoxide Indonesia,Kg,Eliminasi,,"Global Chemindo Megatrading, PT",2,25,Amel,,,ZINC-O--K,Inactive,,,#N/A,,,
169,BARO-ES79MCW-W-K,Bareco,,Bareco ES 796 ex. Baker Petrolite USA,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,10,Ilham,,,BARO-ES79MCW-W-K,Inactive,,,#N/A,,,
170,CAMP---K,Camphora,,Champora,Kg,Belum Eksis,,"Brataco, PT",2,5,,,,CAMP---K,Inactive,,,#N/A,,,
171,VITW--18L57-K,Phytowax,,Vitawax 18L 57 (Kg),Kg,Eliminasi,,,15,25,,,,VITW--18L57-K,Inactive,,,#N/A,,,
172,AKUC---K,Akucell As 1705,,Akucell As 1705 (Kg),Kg,Eliminasi,,,1,1,,,,AKUC---K,Inactive,,,#N/A,,,
173,ALKO---L,Alkohol (Non Cukai),SLV1-AAB,Denaturated Ethanol ex. Indo Acidatama Indonesia,L,Eliminasi,,"Karsavicta Satya, PT",2,200,Amel,,,ALKO---L,Active,,,#N/A,,,
174,AMON-A-KS,Amonia,NTA1-AAC,Ammonium Hydroxide,L,Eksis,,"DKSH Indonesia, PT",6,200,Septi,,,AMON-A-KS,Active,,,AMON-A-KS,,,
175,ASAM-B--K,Asam Benzoat,,Asam Benzoat,Kg,Eliminasi,,,1,1,,,,ASAM-B--K,Inactive,,,#N/A,,,
176,SCRU-PE40-ECA-K,Bulir Scrub,,Chemscrub PE 40,Kg,Belum Eksis,,"Bambang Wibowo, Bapak",2,25,,,,SCRU-PE40-ECA-K,Inactive,,,#N/A,,,
177,SCRU-PE20-CA-K,Bahan Lulur Kasar,EXF3-ABH,Scrub PE-20 Ex.Chemprox-Australia (Kg),Kg,Belum Eksis,,"Bambang Wibowo, Bapak",2,25,,,,SCRU-PE20-CA-K,Habiskan stock (Regulasi scrub PE),,,#N/A,,,
178,ASAM-BO-BA-K,Boric Acid,,Boric Acid,Kg,Belum Eksis,,"Alfa Kimia, PD",2,25,,,,ASAM-BO-BA-K,Inactive,,,#N/A,,,
179,AMMO---K,Bubuk Cold Wave,,Amonium Bicarbonat (Kg),Kg,Eliminasi,,,1,1,,,,AMMO---K,Inactive,,,#N/A,,,
180,CALC--LDBET-K,Bubuk Pasta Gigi,,Calcium Carbonat Light Double Dragon Ex.Taiwan (kg),Kg,Eliminasi,,"Semesta Aneka Raya, PT",2,1,,,,CALC--LDBET-K,Inactive,,,#N/A,,,
181,CALC-CO3-IK,Calsium Carbonat 2,,Calcite Powder ex. Cention International Taiwan,Kg,Eliminasi,,"Indokemika Jayatama, PT",2,20,Amel,,,CALC-CO3-IK,Inactive,,,#N/A,,,
182,EMAL---K,Texapon Powder,SRF3-AAB,Emal 10N ex. PT. Kao Indonesia Chemicals,Kg,Eksis,,"Graha Obor Wijaya, PT",2,20,Septi,,,EMAL---K,Active,,,#N/A,,,
183,EO-L-SPA4-ML,E.O Lavender,PRF1-ACE,Esensial Oil Lavender SPA 4105 (Ml),Kg,Eksis,Cek Mikro,"Juta Rasa Abadi, PT",16,1,Amel,,,EO-L-SPA4-ML,Active,,,#N/A,,,
184,EO-LOJJ-,E.O Lemon II,,Esensial Oil Lemon Oil Jo&JO (Kg),Kg,Eliminasi,,"Juta Rasa Abadi, PT",2,1,Amel,,,EO-LOJJ-,Inactive,,,#N/A,,,
185,EO-Y-EA-K,E.O Ylang-Ylang II,,Esensial Oil Ylang-Ylang Ex.Australia (Kg),Kg,Eliminasi,,,1,1,,,,EO-Y-EA-K,Inactive,,,#N/A,,,
186,EXTR-B--K,Ekstrak Bengkoang,,Extrak Bengkoang (Kg),Kg,Eliminasi,,,1,50,,,,EXTR-B--K,Inactive,,,#N/A,,,
187,EXTR-SI--K,Ekstrak Sirih,,Extrak Sirih (kg),Kg,Eliminasi,,"Merpati Mahardika, PT",2,25,Ilham,,,EXTR-SI--K,Inactive,,,#N/A,,,
188,EXTR-UA--K,Ekstrak Urang-aring,,Eclipta Alba Extract MM-E038 ex. Merpati Mahardika Indonesia,Kg,Belum Eksis,,,8,5,,,,EXTR-UA--K,Inactive,,,#N/A,,,
189,EXTR-W-C-K,Ekstrak Wortel,,Extrak Wortel Carrots (Kg),Kg,Eliminasi,,,1,1,,,,EXTR-W-C-K,Inactive,,,#N/A,,,
190,SILI-C-609-K,Filler Pasta Gigi 2,,Sipernat 22S ex. Evonik Industries Taiwan,Kg,Belum Eksis,,"Sarana Langgeng Sempurna, PT",2,50,,,,SILI-C-609-K,Inactive,,,#N/A,,,
191,FLAV--3L-K,Flavour Pasta Gigi,,Peneaplle Flavour 310300 Local (Kg,Kg,Eliminasi,,,1,1,,,,FLAV--3L-K,Inactive,,,#N/A,,,
192,KAOL--PKA-K,Kaolin,PWD3-ACC,"Kaolin ex Mallinckrodt Baker Inc., USA",Kg,Eliminasi,Cek Mikro,"DKSH Indonesia, PT",12,40,Septi,,,KAOL--PKA-K,Active,,,KAOL--PKA-K,,,
193,OIL-CE-EUSP-K,Minyak Cengkeh,,Eugenol USP ex. Djasula Wangi Indonesia,Kg,Belum Eksis,,,1,1,,,,OIL-CE-EUSP-K,Inactive,,,#N/A,,,
194,OIL-CO-F,Minyak Kelapa,MST2-AAB,"Fiesta (Refined Bleached Deodorized Coconut Oil) ex PT Wahana Citra Nabati, Indonesia",Kg,Eksis,Cek Mikro,"DKSH Indonesia, PT",12,16,Septi,,,OIL-CO-F,Active,,,OIL-CO-F,,,
195,OIL-K--K,Minyak Kemiri,OBW1-AAB,Minyak Kemiri (Kg),Kg,Eksis,Cek Mikro,"Mega Setia Agung Kimia, PT",2,16,Ilham,,,OIL-K--K,Active,,,#N/A,,,
196,EDT-B--K,EDTA,CHE3-AAB,"Dissolvine NA2 ex Nouryon, China",Kg,Eksis,,"Indokemika Jayatama, PT",16,25,Amel,,,EDT-B--K,Active,,,#N/A,,,
197,NATR-B--K,Natrium Benzoat,,Natrium Benzoat (Kg),Kg,Eliminasi,,Kimia Sari,2,1,,,,NATR-B--K,Inactive,,,#N/A,,,
198,OIL-O-USA-L,Olive Oil (Shinta),,Olive Oil Ex. USA (l),Kg,Eliminasi,,,4,240,,,,OIL-O-USA-L,Inactive,,,#N/A,,,
199,PEG---K,PEG 400,,PEG 400 (Kg),Kg,Eliminasi,,,1,1,,,,PEG---K,Inactive,,,#N/A,,,
200,FORM---L,Pengawet Shampo,,Formalin (l),Kg,Eliminasi,,,1,1,,,,FORM---L,Inactive,,,#N/A,,,
201,RESO---K,Resorcin,,Resorcin (Kg),Kg,Eliminasi,,,1,1,,,,RESO---K,Inactive,,,#N/A,,,
202,SCRU--HM40-K,Scrub Hijau,,Scrub Hijau Mess 40 (kg),Kg,Eliminasi,,"Bambang Wibowo, Bapak",2,25,,,,SCRU--HM40-K,Inactive,,,#N/A,,,
203,SORB--S70USP S-K,Cairan PG,,"Sorbidex 7122 ex. PT Sorini Agro Asia Corporindo, Indonesia",Kg,Belum Eksis,,"Polaris Elcado, PT",2,270,,,,SORB--S70USP S-K,Inactive,,,#N/A,,,
204,ALUM-SP-T-K,Tawas,,Aluminium Sulfat ex. Mahkota Indonesia,Kg,Belum Eksis,,"Mahkota Jasa, PT",2,100,,,,ALUM-SP-T-K,Inactive,,,#N/A,,,
205,NATR-C-AGS076-K,Garam Body Salt,,GS 07-6 DSWH ex. Cheetham Garam Indonesia,Kg,Belum Eksis,,"Citam Garam, PT",4,800,,,,NATR-C-AGS076-K,Inactive,,,#N/A,,,
206,AJID--NL-K,Cairan Moist,MST1-AAC,"Ajidew NL-50 ex. Ajinomoto, Brazil",Kg,Eksis,,"Lautan Luas, PT",12,400,Ilham,Pull,palet,AJID--NL-K,Active,,,#N/A,,,
207,OIL-TA-B01AB-K,Cairan Antiseptik,,Tamanu Oil (B.01) ex. Concentrated Aloe Corporation USA,Kg,Eliminasi,,"Colorindo Chemtra, PT",2,1,Amel,Pull,,OIL-TA-B01AB-K,Inactive,,,#N/A,,,
208,VITA-B3-NDSM-K,Vitamin B3,,Niacinamide ex. DSM Nutritional Products Singapore,Kg,Belum Eksis,,"Menjangan Sakti, PT",2,20,Septi,Pull,,VITA-B3-NDSM-K,Habiskan stock (Ganti principle),,,#N/A,,,
209,"BUTY--DAI1,3",Cairan Humektan,MST1-AAB,"1,3-Butylene Glycol Ex. Daicel Chemical Industries, Ltd. Japan",Kg,Eksis,,"Global Chemindo Megatrading, PT
DKSH Indonesia, PT",12,200,,,,"BUTY--DAI1,3",Active,,,"BUTY--DAI1,3",,,
210,SILI-556-DC-K,Silikon Shiny,SLC1-AAC,"Dow Corning (R) 556 Cosmetic Grade ex. Dow Corning Pte., Ltd., USA",Kg,Eksis,,"Mega Setia Agung Kimia, PT",24,200,Ilham,,,SILI-556-DC-K,Active,,,SILI-556-DC-K,,,
211,ARLA-165--K,Lilin 165 UQM,WAX3-AAB,"Arlacel 170-PA-(SG) ex. Croda Singapore Pte., Ltd.",Kg,Eksis,,"Croda Trading Indonesia, PT",20,25,Ilham,,,ARLA-165--K,Active,,,#N/A,,,
212,SILI-1328--K,Silikon Waterproof,,SF 1328 9937 ex. Momentive USA,Kg,Habiskan stock,,"Kemiko Indonesia, PT",2,190.68,Septi,Pull,,SILI-1328--K,Habiskan stock (Discontinue di principle),,,#N/A,,,
213,CLAI-II-IC-K,Cairan Pemutih,WHT1-AAB,"Clair Blanche-II ex. Ichimaru Pharcos Co., Ltd. Japan",Kg,Eksis,,"Menjangan Sakti, PT",12,5,Septi,Pull,,CLAI-II-IC-K,Active,,,#N/A,,,
214,LANE-MY--K,Lanette My,,Lanette MY (Kg),Kg,Eliminasi,,,1,1,,,,LANE-MY--K,Inactive,,,#N/A,,,
215,SILI-245-DC-K,Silikon 245,,Silicon DC-245 Ex.Dow Corning (Kg),Kg,Eliminasi,,,1,1,,,,SILI-245-DC-K,Inactive,,,#N/A,,,
216,MC3-300-SF,MC-300,EMO1-AAG,Sophim MC300 ex. Sophim France,Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,170,Ilham,,,MC3-300-SF,Active,,,#N/A,,,
217,MC3-30-SF,MC-30,EMO1-AAF,Sophim MC30 ex. Sophim France,Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,180,Ilham,,,MC3-30-SF,Active,,,#N/A,,,
218,EXTR-FS-I-K,Ekstrak Soybean,WBE1-AAB,"Flavosterone SB ex. Ichimaru Pharcos Co., Ltd. Japan",Kg,Eksis,Cek Mikro,"Menjangan Sakti, PT",12,5,Septi,Pull,,EXTR-FS-I-K,Active,,,#N/A,,,
219,ARMO-HD--K,Cairan Pembersih,EMO1-AAB,Arlamol HD ex. Croda UK,Kg,Eksis,,"Croda Trading Indonesia, PT",20,160,Ilham,,,ARMO-HD--K,Active,,,#N/A,,,
220,COSM-43V--K,Cairan Pendispersi Warna,DSP1-AAD,"Cosmol 43V ex. The Nissin Oillio Group, Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",12,16,Septi,Pull,,COSM-43V--K,Active,,,#N/A,,,
221,VCIP---K,Vitamin C Larut Minyak,ASB1-AAE,VC-IP ex. Nikko Chemicals Japan,Kg,Eksis,,"IMCD Indonesia, PT",10,5,Ilham,,,VCIP---K,Active,,,#N/A,,,
222,SILI-1318-,Film Former,,SF 1318 9935 ex. Momentive USA,Kg,Belum Eksis,,"Kemiko Indonesia, PT",2,18.16,Septi,Pull,,SILI-1318-,Inactive,,,#N/A,,,
223,SUNC--T40AQS,Cairan Titan,,"Sunclear T-40AQX ex. Sunj In Chemical Co., Ltd. Korea",Kg,Belum Eksis,,"Mega Setia Agung Kimia, PT",2,20,Ilham,,,SUNC--T40AQS,Inactive,,,#N/A,,,
224,SUNC--Z50,,,,Kg,Eliminasi,,,15,20,,,,SUNC--Z50,Inactive,,,#N/A,,,
225,ASEN-CL30-,Bahan Anti Sweating,,Asensa CL 300 ex. Honeywell USA,Kg,Eliminasi,,,16,25,,,,ASEN-CL30-,Inactive,,,#N/A,,,
226,SILI-4515-,Silikon Ringan,SLC1-ABE,Element14* PDMS 5-A ex. Momentive Performance Materials (Thailand) Limited,Kg,Eksis,,"Kemiko Indonesia, PT",16,180,Septi,Pull,,SILI-4515-,Active,,,#N/A,,,
227,CRLL-4-C-K,Emulgator w/o,SRF1-AAI,"Span 80-LQ-(SG) ex. Croda Singapore Pte., Ltd.",Kg,Eksis,,"Croda Trading Indonesia, PT",16,180,Ilham,,,CRLL-4-C-K,Active,,,#N/A,,,
228,SILI-9546-EDC,Silicon Elastomer,SLC1-AAG,"Dow Corning (R) 9546 Silicone Elastomer Blend ex. Dow Corning Singapore Pt., Ltd.",Kg,Eksis,,"Mega Setia Agung Kimia, PT",24,180,Ilham,,,SILI-9546-EDC,Active,,,#N/A,,,
229,VIT-PRP-DSMS,Vitamin A Palmitat,,Vitamin A Palmitate/M 1.0 Miu/G (Tocopherol) ex. DSM Nutritional Products Switzerland,Kg,Belum Eksis,,"Menjangan Sakti, PT",2,5,Septi,Pull,,VIT-PRP-DSMS,Inactive,,,#N/A,,,
230,MIHA--PAU50,Cairan HS,FFM1-ABC,Mihapol PAU-50 ex. Miwon Commercial Japan,Kg,Belum Eksis,,"Lautan Luas, PT",2,180,Ilham,Pull,,MIHA--PAU50,Active,,,MIHA--PAU50,,,
231,GLUC--MC,Anti Inflamasi,SAI1-AAB,"MC-Glucan ex. MacroCare Tech., Ltd. Korea",Kg,Eksis,,"Menjangan Sakti, PT",18,20,Septi,Pull,,GLUC--MC,Active,,,#N/A,,,
232,VICO--AT100P,Emulgator Dingin,,Viscolam AT 100 P ex. Lamberti Spa Italy,Kg,Belum Eksis,,,4,10,,,,VICO--AT100P,Inactive,,,#N/A,,,
233,GOHS--EG25,Bahan Feel Off 2,,Gohsenol EG-25 ex. Nippon Gohsei Japan,Kg,Belum Eksis,,"Kemiko Indonesia, PT",2,20,Septi,Pull,,GOHS--EG25,Inactive,,,#N/A,,,
234,GOHS--EG40,Bahan Feel Off 1,FFM3-AAF,Gohsenol EG-40 ex. Nippon Gohsei Japan,Kg,Eliminasi,,"Sinergi Multi Lestarindo, PT",12,20,Amel,Pull,,GOHS--EG40,Inactive,,,#N/A,,,
235,CERE-810-,Ceresin Wax,WAX3-AAF,Ceresin#810 ex. Iwase Cosfa Japan,Kg,Eksis,,"Sinergi Multi Lestarindo, PT",12,15,Amel,Pull,,CERE-810-,Active,,,#N/A,,,
236,ASAM-SALI-ASR,Asam Salisilat,,Salicylic Acid,Kg,Belum Eksis,,"Tirta Buana Kemindo, PT
Bratachem, PT",2,25,,,,ASAM-SALI-ASR,Habiskan stock (akan disubstitusi),,,#N/A,,,
237,HAZE-D-WC,Cairan Astringen,ACN1-ALACJ,Witch Hazel Distillate ex. Crodarom France,Kg,Eliminasi,Cek Mikro,"Croda Trading Indonesia, PT",16,25,Ilham,,,HAZE-D-WC,Inactive,,,#N/A,,,
238,VELV-DM-,Silicon Elastomer 2,SLC2-AAB,Velvesil DM 53275 ex. Momentive USA,Kg,Eliminasi,,"Kemiko Indonesia, PT",16,15.89,Septi,Pull,,VELV-DM-,Active,127.12,-178.88,#N/A,,,
239,SILI-1202-,Cairan SF2,SLC1-ABA,SF 1202 ex. Momentive Thailand,Kg,Habiskan stock,,"Kemiko Indonesia, PT",16,764,Septi,Pull,palet,SILI-1202-,Active,5348,,#N/A,,,
240,SILI-SF16-,Silikon Wax,WAX3-ABC,SF 1642 ex. Momentive USA,Kg,Eksis,,"Kemiko Indonesia, PT",16,20,Septi,Pull,,SILI-SF16-,Active,,,#N/A,,,
241,OCTY-P-S,Octyl Palmitate,,Octyl Palmitate Stepan (Kg),Kg,Eliminasi,,,12,25,,,,OCTY-P-S,Inactive,,,#N/A,,,
242,SODA-C-ASA,Soda Flake,NTA3-AAC,Soda Flake Caustic Asahi (Kg),Kg,Eksis,,"Indokemika Jayatama, PT",12,25,Amel,,,SODA-C-ASA,Active,,,#N/A,,,
243,BUTT-EBUSA-SBUR,Butter,MST2-AAD,"Biochemica Shea Butter Ref ex Hallstar, USA",Kg,Eksis,,"Lautan Luas, PT",20,25,Ilham,Pull,,BUTT-EBUSA-SBUR,Active,,,#N/A,,,
244,PERF-PL-,Lilin PL,WAX3-ABB,Performalene PL polyethylene ex. New Phase Technologies USA,Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,PERF-PL-,Active,,,#N/A,,,
245,UVIN-MC80-BASF,Sunscreen UV B,SCR1-AAC,Uvinul MC 80 ex. BASF Germany,Kg,Eksis,,"BASF Distribution Indonesia, PT",18,800,Septi,Pull,palet,UVIN-MC80-BASF,Active,,,#N/A,,,
246,PARS-5000-DSM,Sunscreen UV B1,SCR3-AAD,"Parsol 5000 ex. DSM Nutritional Products, Taiwan",Kg,Habiskan stock,,"Menjangan Sakti, PT",20,500,Septi,Pull,palet,PARS-5000-DSM,Active,,,#N/A,,,
