Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
106,OIL-O-AA-L,Minyak Zaitun ( Al-amir ),,"Pomace Olive Oil ""Al-Amir"" ex. Aceites Del Sur Spain",Kg,Eliminasi,,"Ekacitta Dian Persada, PT",2,1,,,,OIL-O-AA-L,Inactive,,,#N/A,,,
107,OIL-O-POAS-CAN,Minyak Zaitun,,100% Pure Olive Oil Altivo,Kg,Belum Eksis,,"Narda Tita, PT",2,25,Ilham,,,OIL-O-POAS-CAN,Inactive,,,#N/A,,,
108,OIL-O-BT,Minyak Zaitun C,,Olive Oil Ex. B&T (Kg),Kg,Eliminasi,,"Merpati Mahardika, PT",2,1,Ilham,,,OIL-O-BT,Inactive,,,#N/A,,,
109,NATR-S-HBR250A-K,Cellusize II,,Natrosol 250 HBR ex. Hercules International Netherlands,Kg,Eliminasi,,"Connell Bersaudara Chemindo, PT",2,50,Amel,,,NATR-S-HBR250A-K,Inactive,,,#N/A,,,
110,NIPA-G--K,N1,PRV3-AAB,"Nipagin M ex. Clariant Produkte (Deutschland) GmbH, Germany",Kg,Eksis,,"Clariant Indonesia, PT",28,25,Ilham,,,NIPA-G--K,Active,,,#N/A,,,
111,NIPA-S--K,N2,PRV3-AAE,"Nipasol M ex. Clariant Produkte (Deutschland) GmbH, Germany",Kg,Eksis,,"Clariant Indonesia, PT",28,25,Ilham,,,NIPA-S--K,Active,,,#N/A,,,
112,OIL-W-GARRC-DRUM,Parafin,EMO1-AAH,Light White Oil Pharma Grade-15 ex. Columbia Petro Chem India,Kg,Eksis,,"DKSH Indonesia, PT",20,175,Septi,,,OIL-W-GARRC-DRUM,Active,,,OIL-W-GARRC-DRUM,,,
113,WAX-P-FR6062-K,Parafin Wax,WAX3-AAH,"Paraffin Wax 140 F ex. Taiwan Wax Company, Ltd. Taiwan",Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",16,30,Ilham,,,WAX-P-FR6062-K,Active,,,#N/A,,,
114,PARS--RUVBF-K,Parsol,SCR1-AAE,Parsol MCX Ex.Roche for UV B Filter (Kg),Kg,Eksis,Cek Mikro,"Menjangan Sakti, PT",20,200,Septi,Pull,,PARS--RUVBF-K,Active,,,#N/A,,,
115,TEGO-P-B48-K,Pearl Agent,,Tegopearl B48 (kg),Kg,Eliminasi,,,1,1,,,,TEGO-P-B48-K,Inactive,,,#N/A,,,
116,CMC--2000F-K,Pengikat Pasta Gigi,RHM3-AAF,"Cekol 2000 ex. Nouryon Chemicals Findland Oy, Finland",Kg,Eksis,Cek Mikro,"Marga Dwi Kencana, PT",20,20,Amel,,,CMC--2000F-K,Active,,,#N/A,,,
117,PLAS-P-D400-K,Plastik Powder,PWD3-ABD,D400 ex. Toshiki Pigment Japan,Kg,Eksis,,"IMCD Indonesia, PT",18,20,Ilham,,,PLAS-P-D400-K,Active,,,#N/A,,,
118,POLA--GP2-K,Polawax,EMS3-AAC,"SP POLAWAX GP-200 MBAL-PA-(SG) ex. Croda Singapore Pte., Ltd.",Kg,Eksis,,"Croda Trading Indonesia, PT",16,20,Ilham,,,POLA--GP2-K,Active,,,#N/A,,,
119,LANE---K,Powder E (HS),,Lanette E (Kg),Kg,Eliminasi,,"Bahtera Adi Jaya, PT",2,1,Septi,,,LANE---K,Inactive,,,#N/A,,,
