"Korporat Code","Component FG/Korporat Code","Component REFILL/Korporat Code"
"CM-CML-EM50ML","CM-CML-BULK",""
"LT-CR01-EM","LT-CR01-BULK",""
"LT-CR02-EM","LT-CR02-BULK",""
"LT-CR03-EM","LT-CR03-BULK",""
"LT-CR04-EM","LT-CR04-BULK",""
"LT-CR05-EM","LT-CR05-BULK",""
"LT-CR06-EM","LT-CR06-BULK",""
"LT-CR07-EM","LT-CR07-BULK",""
"LT-CR08-EM","",""
"LT-CR09-EM","LT-CR09-BULK",""
"LT-CR10-EM","LT-CR10-BULK",""
"LT-CR11-EM","LT-CR11-BULK",""
"LT-CR12-EM","",""
"LT-CR13-EM","LT-CR13-BULK",""
"L-CMP1-EM3.8GR","",""
"BBC-HSBBL-EM","BBC-HSBBL-BULK",""
"BBC-HSBBN-EM","BBC-HSBBN-BULK",""
"BBC-HSBBC-EM","BBC-HSBBC-BULK",""
"B-DMCP01-EM","B-DMCP01-BULK",""
"B-DMCP02-EM","B-DMCP02-BULK",""
"B-DMCP03-EM","B-DMCP03-BULK",""
"B-DMCP04-EM","B-DMCP04-BULK",""
"CUS-DM01-EM","CUS-DM01-BULK",""
"CUS-DM04-EM","CUS-DM04-BULK",""
"CUS-DM02-EM","CUS-DM02-BULK",""
"CUS-DM03-EM","CUS-DM03-BULK",""
"CUS-DM05-EM","CUS-DM05-BULK",""
"CUS-DM06-EM","CUS-DM06-BULK",""
"B-DMLP01-EM","B-DMLP01-BULK",""
"B-DMLP02-EM","B-DMLP02-BULK",""
"MUR-DIS-EM50ML","MUR-DISA-BULK",""
"","MUR-DISB-BULK",""
"FW-DBR-EM60ML","",""
"EB-DABL-EM0.3GR","EB-DABKR1-E",""
"EB-DABR-EM0.3GR","EB-DABWR1-E",""
"FW-DBL-EM60ML","",""
"FT-DTM-EM50ML","",""
"EL-EDCPBL-EM0.2GR","EL-ECBKR0-E",""
"EL-EDCPBR-EM0.2GR","EL-ECBWR0-E",""
"EL-EDCPDP-EM0.2GR","EL-ECDPR0-E",""
"EL-EDPBL-EM1GR","ELP-EDBLR0-E",""
"EL-EDPB-EM1GR","ELP-EDNBR0-E",""
"EL-EDPBR-EM1GR","ELP-EDBRR1-E",""
"EL-EDPG-EM1GR","ELP-EDGOR0-E",""
"EL-EDPPP-EM1GR","ELP-EDDPR0-E",""
"P-FE-EM","",""
"P-FP-EM","",""
"P-FB-EM","SS-SBSP30-EM",""
"","SRM-BSS-EM",""
"","FS-BSFS-EM",""
"L-RGS01-EM","L-RGS01-BULK",""
"L-GS01-EM","L-GS01-BULK",""
"L-GS02-EM","L-GS02-BULK",""
"L-RGS02-EM","L-RGS02-BULK",""
"L-GS03-EM","L-GS03-BULK",""
"L-RGS03-EM","L-RGS03-BULK",""
"L-GS04-EM","L-GS04-BULK",""
"L-RGS04-EM","L-RGS04-BULK",""
"L-RGS05-EM","L-RGS05-BULK",""
"L-GS05-EM","L-GS05-BULK",""
"L-GS06-EM","L-GS06-BULK",""
"L-GS07-EM","L-GS07-BULK",""
"L-GS08-EM","L-GS08-BULK",""
"L-GS09-EM","L-GS09-BULK",""
"L-GS10-EM","L-GS10-BULK",""
"FM-GS-EM60ML","FM-GS-BULK",""
"FM-MGT-EM60ML","FM-MGT-BULK",""
"P-RM-EM","SRM-AN1-EM",""
"","L-LLS01-EM",""
"P-RD-EM","LB-LMPB-EM",""
"","L-NLCB-EM",""
"","L-LLS01-EM",""
"P-RS-EM","FT-BST-EM",""
"","SS-SBAT30-EM",""
"","SRM-BSS-EM",""
"P-CMM-EM","",""
"P-CRT-EM","",""
"L-CUSH01-EM","L-CUSH01-BULK",""
"L-CUSH02-EM","L-CUSH02-BULK",""
"L-CUSH03-EM","L-CUSH03-BULK",""
"L-CUSH04-EM","L-CUSH04-BULK",""
"L-CUSH05-EM","L-CUSH05-BULK",""
"L-CUSH06-EM","L-CUSH06-BULK",""
"LB-LM-EM","LB-LM-BULK",""
"LB-LMPB-EM","LB-LM-BULK",""
"LB-LMMC-EM","LB-LMMC-BULK",""
"LB-LMOR-EM","LB-LMOR-BULK",""
"LB-LMPR-EM","LB-LMPR-BULK",""
"P-BQP-EM","",""
"P-BFC-EM","",""
"P-GIG-EM","",""
"P-YGG-EM","",""
"REM-LTWO-EM10ML","REM-LTWO-BULK",""
"P-L1E-EM","",""
"P-L2E-EM","",""
"L-LSBN-EM4.5ML","L-LSBN-BULK",""
"L-LSCP-EM4.5ML","L-LSCP-BULK",""
"L-LSCR-EM4.5ML","L-LSCR-BULK",""
"L-LSWB-EM4.5ML","L-LSWB-BULK",""
"LT-MPSR-EM5.5ML","LT-MPSR-BULK",""
"LT-MPSG-EM5.5ML","LT-MPSG-BULK",""
"LT-MPSM-EM5.5ML","LT-MPSM-BULK",""
"LT-MP04-EM","LT-MP04-BULK",""
"LT-MP05-EM","LT-MP05-BULK",""
"LT-MP06-EM","LT-MP06-BULK",""
"FM-MAV-EM","MASQ-EMFMAVR0-X",""
"FM-MBLU-EM","MASQ-EMFMBR0-X",""
"FM-MCAC-EM","MASQ-EMFMCAR0-X",""
"FM-MCHAM-EM","",""
"FM-MCHAR-EM","MASQ-EMFMCHR0-X",""
"FM-MGRA-EM","MASQ-EMFMGR0-X",""
"FM-MPO-EM","MASQ-EMFMPR0-X",""
"FM-MRI-EM","MASQ-EMFMRR0-X",""
"FM-MSSO-EM","MASQ-EMFMSR0-X",""
"FM-MTTO-EM","MASQ-EMFMTTOR0-X",""
"P-ME-EM","",""
"L-MC01-EM","L-MC01-BULK",""
"L-MC02-EM","L-MC02-BULK",""
"L-MC03-EM","L-MC03-BULK",""
"L-MC04-EM","L-MC04-BULK",""
"L-MC05-EM","L-MC05-BULK",""
"L-MC06-EM","L-MC06-BULK",""
"REM-MWDC-EM100ML","",""
"REM-MWBS-EM100ML","REM-MWBS-BULK",""
"M-IAB-EM50ML","M-IAB-BULK",""
